date,rv5m_var,rq5m,n_buckets,rv5m,rs_pos_var,rs_neg_var
2018-05-01,4.50127215515e-05,1.70032533737e-09,77,0.106504487375,2.48276006515e-05,2.01851208999e-05
2018-05-02,4.41487452835e-05,2.46311303163e-09,77,0.10547740901,1.90576534563e-05,2.50910918273e-05
2018-05-03,9.78503115537e-05,8.62831440395e-09,77,0.15702954662,5.55346956435e-05,4.23156159102e-05
2018-05-04,4.2122623965e-05,2.48715707852e-09,77,0.10302864281,3.30947041486e-05,9.02791981645e-06
2018-05-07,2.56409085003e-05,1.89185927488e-09,77,0.0803835116306,8.43854626804e-06,1.72023622322e-05
2018-05-08,4.59967995176e-05,2.9204884968e-09,77,0.10766240513,2.53873957265e-05,2.06094037911e-05
2018-05-09,2.87670054625e-05,1.00400011727e-09,77,0.0851427353128,1.62357781687e-05,1.25312272938e-05
2018-05-10,1.91762833025e-05,4.62426222949e-10,77,0.0695156341568,1.17648214013e-05,7.41146190122e-06
2018-05-11,2.08858647817e-05,4.74246916822e-10,77,0.0725481765794,1.11430138062e-05,9.7428509755e-06
2018-05-14,1.514233988e-05,2.26331303224e-10,77,0.0617727257757,7.03254876915e-06,8.10979111087e-06
2018-05-15,3.65442611356e-05,1.41287302258e-09,77,0.0959643361159,1.84103716167e-05,1.81338895188e-05
2018-05-16,1.84187497509e-05,4.52565522319e-10,77,0.0681287379688,1.11361461537e-05,7.2826035972e-06
2018-05-17,1.98377451025e-05,4.21171676669e-10,77,0.0707043970757,9.88640337303e-06,9.9513417295e-06
2018-05-18,2.17104247464e-05,7.12449615648e-10,77,0.0739663912604,8.88662676979e-06,1.28237979766e-05
2018-05-21,1.76247311173e-05,4.84660192094e-10,77,0.066644071316,9.22302672929e-06,8.40170438804e-06
2018-05-22,1.3486032273e-05,5.30026443004e-10,77,0.0582964847378,3.72694164524e-06,9.75909062773e-06
2018-05-23,2.90056356886e-05,1.64548329376e-09,77,0.0854951471929,2.01982294304e-05,8.80740625819e-06
2018-05-24,3.35623975194e-05,1.27648534e-09,77,0.0919658859301,1.73875496152e-05,1.61748479042e-05
2018-05-25,1.54702579918e-05,2.89903343028e-10,77,0.0624380093687,7.59533693868e-06,7.87492105308e-06
2018-05-29,5.76637702996e-05,3.37285035484e-09,77,0.120545717948,2.29606913083e-05,3.47030789913e-05
2018-05-30,2.16375649612e-05,7.77446136671e-10,77,0.0738421720307,1.56818788488e-05,5.95568611242e-06
2018-05-31,4.20829629001e-05,2.41683197402e-09,77,0.102980127456,2.20920300044e-05,1.99909328957e-05
2018-06-01,1.71606506979e-05,5.85784903498e-10,77,0.0657608088139,1.07022140107e-05,6.45843668719e-06
2018-06-04,8.23469471695e-06,8.36628601202e-11,77,0.0455537382513,4.18754806542e-06,4.04714665153e-06
2018-06-05,1.74546813126e-05,5.09624145826e-10,77,0.0663217889595,7.31249095295e-06,1.01421903597e-05
2018-06-06,1.49675718907e-05,2.59903723826e-10,77,0.0614152107906,9.316779673e-06,5.65079221767e-06
2018-06-07,3.04019652081e-05,1.04430643121e-09,77,0.0875288251517,1.35514255101e-05,1.6850539698e-05
2018-06-08,1.32648019059e-05,2.12059911188e-10,77,0.0578163478637,8.73986395522e-06,4.52493795073e-06
2018-06-11,8.93441109389e-06,1.39650668337e-10,77,0.0474496743473,4.47421055841e-06,4.46020053549e-06
2018-06-12,8.59277258402e-06,9.95471204508e-11,77,0.0465336296798,4.7954981541e-06,3.79727442992e-06
2018-06-13,1.62343770386e-05,6.01191139976e-10,77,0.0639614181653,5.7960674023e-06,1.04383096363e-05
2018-06-14,1.09132167959e-05,2.15517305733e-10,77,0.0524416879265,5.02662520793e-06,5.88659158801e-06
2018-06-15,2.14765026898e-05,6.27968081971e-10,77,0.0735668313701,1.29541963072e-05,8.52230638265e-06
2018-06-18,1.41759039462e-05,2.50821085375e-10,77,0.0597689534328,1.01727934265e-05,4.00311051969e-06
2018-06-19,2.35564296555e-05,7.55284390438e-10,77,0.0770468706255,1.39083454994e-05,9.64808415614e-06
2018-06-20,8.16677187022e-06,5.80085715019e-11,77,0.0453654770866,3.61469799346e-06,4.55207387676e-06
2018-06-21,3.05597946338e-05,1.35885713284e-09,77,0.0877557305692,9.79551927465e-06,2.07642753592e-05
2018-06-22,1.53128546108e-05,5.43952407756e-10,77,0.0621195570003,5.44876828104e-06,9.86408632972e-06
2018-06-25,8.35457905489e-05,7.92072741004e-09,77,0.145098377725,3.90051895407e-05,4.45406010083e-05
2018-06-26,2.7344324218e-05,1.32935472083e-09,77,0.0830106601765,1.60445903336e-05,1.12997338844e-05
2018-06-27,7.31276364161e-05,5.50750744923e-09,77,0.135750375236,2.5087937055e-05,4.80396993611e-05
2018-06-28,5.69285826436e-05,5.35462559911e-09,77,0.119774800464,3.3200579447e-05,2.37280031966e-05
2018-06-29,2.345545127e-05,8.09071517064e-10,77,0.0768815564362,8.71072024376e-06,1.47447310263e-05
2018-07-02,3.73063939418e-05,1.67423729166e-09,77,0.0969598436124,2.09901989012e-05,1.63161950406e-05
2018-07-03,1.53413187077e-05,3.31208036205e-10,71,0.062177265253,2.76846157747e-06,1.25728571303e-05
2018-07-05,2.82580301802e-05,1.1567380687e-09,77,0.0843861576646,1.51213547676e-05,1.31366754126e-05
2018-07-06,2.19067177181e-05,7.22583722429e-10,77,0.0743000192796,1.49891854131e-05,6.91753230494e-06
2018-07-09,7.76973123492e-06,6.92801142103e-11,77,0.0442489804538,4.1568064499e-06,3.61292478501e-06
2018-07-10,1.24601607023e-05,1.72430916173e-10,77,0.0560353504225,6.60944096224e-06,5.85071974003e-06
2018-07-11,2.02789641807e-05,3.17085128617e-10,77,0.0714863551562,1.04340896693e-05,9.84487451137e-06
2018-07-12,1.53434755883e-05,3.04989270741e-10,77,0.0621816359407,1.01388726004e-05,5.20460298796e-06
2018-07-13,9.00768110479e-06,1.28983204847e-10,77,0.047643841558,3.84079353104e-06,5.16688757375e-06
2018-07-16,9.52136764107e-06,1.05785893146e-10,77,0.048983514018,4.52565372948e-06,4.99571391159e-06
2018-07-17,1.17574239995e-05,1.65535575074e-10,77,0.0544322592575,7.18630561638e-06,4.57111838313e-06
2018-07-18,5.97189592938e-06,3.67410181082e-11,77,0.0387932697024,3.54335558452e-06,2.42854034485e-06
