date,event
2018-01-05,payrolls
2018-01-12,cpi
2018-01-31,fomc
2018-02-02,payrolls
2018-02-14,cpi
2018-03-09,payrolls
2018-03-13,cpi
2018-03-21,fomc
2018-04-06,payrolls
2018-04-11,cpi
2018-05-02,fomc
2018-05-04,payrolls
2018-05-10,cpi
2018-06-01,payrolls
2018-06-12,cpi
2018-06-13,fomc
2018-07-06,payrolls
2018-07-12,cpi
2018-08-01,fomc
2018-08-03,payrolls
2018-08-10,cpi
2018-09-07,payrolls
2018-09-13,cpi
2018-09-26,fomc
2018-10-05,payrolls
2018-10-11,cpi
2018-11-02,payrolls
2018-11-08,fomc
2018-11-14,cpi
2018-12-07,payrolls
2018-12-12,cpi
2018-12-19,fomc
2019-01-04,payrolls
2019-01-11,cpi
2019-01-30,fomc
2019-02-01,payrolls
2019-02-13,cpi
2019-03-08,payrolls
2019-03-12,cpi
2019-03-20,fomc
2019-04-05,payrolls
2019-04-10,cpi
2019-05-01,fomc
2019-05-03,payrolls
2019-05-10,cpi
2019-06-07,payrolls
2019-06-12,cpi
2019-06-19,fomc
2019-07-05,payrolls
2019-07-11,cpi
2019-07-31,fomc
2019-08-02,payrolls
2019-08-13,cpi
2019-09-06,payrolls
2019-09-12,cpi
2019-09-18,fomc
2019-10-04,payrolls
2019-10-10,cpi
2019-10-30,fomc
2019-11-01,payrolls
2019-11-13,cpi
2019-12-06,payrolls
2019-12-11,cpi
2019-12-11,fomc
2020-01-10,payrolls
2020-01-14,cpi
2020-01-29,fomc
2020-02-07,payrolls
2020-02-13,cpi
2020-03-03,fomc
2020-03-06,payrolls
2020-03-11,cpi
2020-03-15,fomc
2020-04-03,payrolls
2020-04-10,cpi
2020-04-29,fomc
2020-05-08,payrolls
2020-05-12,cpi
2020-06-05,payrolls
2020-06-10,cpi
2020-06-10,fomc
2020-07-02,payrolls
2020-07-14,cpi
2020-07-29,fomc
2020-08-07,payrolls
2020-08-12,cpi
2020-09-04,payrolls
2020-09-11,cpi
2020-09-16,fomc
2020-10-02,payrolls
2020-10-13,cpi
2020-11-05,fomc
2020-11-06,payrolls
2020-11-12,cpi
2020-12-04,payrolls
2020-12-10,cpi
2020-12-16,fomc
2021-01-08,payrolls
2021-01-13,cpi
2021-01-27,fomc
2021-02-05,payrolls
2021-02-10,cpi
2021-03-05,payrolls
2021-03-10,cpi
2021-03-17,fomc
2021-04-02,payrolls
2021-04-13,cpi
2021-04-28,fomc
2021-05-07,payrolls
2021-05-12,cpi
2021-06-04,payrolls
2021-06-10,cpi
2021-06-16,fomc
2021-07-02,payrolls
2021-07-13,cpi
2021-07-28,fomc
2021-08-06,payrolls
2021-08-11,cpi
2021-09-03,payrolls
2021-09-14,cpi
2021-09-22,fomc
2021-10-08,payrolls
2021-10-13,cpi
2021-11-03,fomc
2021-11-05,payrolls
2021-11-10,cpi
2021-12-03,payrolls
2021-12-10,cpi
2021-12-15,fomc
2022-01-07,payrolls
2022-01-12,cpi
2022-01-26,fomc
2022-02-04,payrolls
2022-02-10,cpi
2022-03-04,payrolls
2022-03-10,cpi
2022-03-16,fomc
2022-04-01,payrolls
2022-04-12,cpi
2022-05-04,fomc
2022-05-06,payrolls
2022-05-11,cpi
2022-06-03,payrolls
2022-06-10,cpi
2022-06-15,fomc
2022-07-08,payrolls
2022-07-13,cpi
2022-07-27,fomc
2022-08-05,payrolls
2022-08-10,cpi
2022-09-02,payrolls
2022-09-13,cpi
