date,gdelt_tone_mkt,gdelt_share_mkt,gdelt_count_mkt,gdelt_tone_econ,gdelt_share_econ,gdelt_count_econ
2018-01-01,-0.1299,0.01609592074,5998,-2.1405,0.0275949238,10283
2018-01-02,0.0602,0.01849646819,9398,-1.7774,0.03095471928,15728
2018-01-03,0.0073,0.01941279151,12111,-1.3037,0.02891641969,18040
2018-01-04,-0.2123,0.02139565992,12988,-1.0948,0.02991405824,18159
2018-01-05,-0.3357,0.01986001961,10672,-1.2949,0.03202130411,17207
2018-01-06,-0.4968,0.01303097519,5628,-1.4224,0.02171829199,9380
2018-01-07,-0.4683,0.007604169131,2571,-0.98,0.01794418285,6067
2018-01-08,-0.0287,0.01503382449,9296,-0.8409,0.02585636681,15988
2018-01-09,0.0529,0.01660076138,10361,-0.7983,0.02642086239,16490
2018-01-10,0.0208,0.01732199771,10984,-0.4903,0.03094115031,19620
2018-01-11,-0.2142,0.01734864614,10047,-0.5317,0.02984167439,17282
2018-01-12,-0.131,0.01767124823,10567,-0.7618,0.02826697348,16903
2018-01-13,-0.1473,0.01123931676,4583,-0.9504,0.02273368239,9270
2018-01-14,-0.2262,0.01070619481,3620,-1.042,0.0219122092,7409
2018-01-15,-0.9905,0.0163311634,9079,-0.7021,0.02334822127,12980
2018-01-16,-0.141,0.01662358959,10786,-0.6693,0.024517714,15908
2018-01-17,-0.0658,0.01736762957,10602,-0.7674,0.02706381891,16521
2018-01-18,-0.1392,0.01801704935,10054,-0.5974,0.0275936469,15398
2018-01-19,-0.2134,0.01708072072,10771,-0.7969,0.02871419646,18107
2018-01-20,-0.6594,0.01276515568,4878,-0.9683,0.02624733732,10030
2018-01-21,-0.1789,0.01023522434,4021,-0.5752,0.02661769235,10457
2018-01-22,-0.0983,0.01663903276,9072,-0.5763,0.03012890115,16427
2018-01-23,0.0778,0.0167340596,10284,-0.4743,0.03171563164,19491
2018-01-24,-0.0256,0.01825214914,11013,-0.4817,0.03321450294,20041
2018-01-25,-0.0573,0.01715584061,8351,-0.4351,0.03523408242,17151
2018-01-26,-0.2392,0.01887200982,11418,-0.685,0.03556393724,21517
2018-01-27,-0.3057,0.01235480514,5248,-1.0905,0.02813260699,11950
2018-01-28,-0.0336,0.01160082176,4557,-0.9996,0.02788830422,10955
2018-01-29,-0.0243,0.0172684333,8650,-0.4379,0.03147047198,15764
2018-01-30,-0.2169,0.01960981828,10707,-0.3982,0.03490646554,19059
2018-01-31,-0.0624,0.02247486375,13423,-0.5958,0.03725941615,22253
2018-02-01,-0.0236,0.01909687125,12186,-0.3805,0.02977833149,19002
2018-02-02,-0.2843,0.01996370548,11595,-0.5803,0.02697295473,15666
2018-02-03,-0.3625,0.01465563507,6035,-0.5154,0.02005405707,8258
2018-02-04,-0.1462,0.01135217018,4399,-0.939,0.02263466347,8771
2018-02-05,-0.7618,0.02114778835,13917,-0.8216,0.02672915119,17590
2018-02-06,-1.1561,0.02990391124,20014,-1.0652,0.03126209327,20923
2018-02-07,-0.5562,0.02194326457,14243,-0.7262,0.02760355763,17917
2018-02-08,-0.5084,0.02212551792,13382,-0.6799,0.03096282873,18727
2018-02-09,-0.9046,0.02292272538,13242,-0.9346,0.02632080044,15205
2018-02-10,-0.8696,0.0166263555,7266,-0.9192,0.0209374006,9150
