date,atm_iv_30,atm_iv_91,atm_ivar_30,term_slope_30_91,skew_25d_30,spy_put_call,vix,vxo
2017-01-03,0.1096855,0.128963,0.01203090891,-0.0192775,0.044071,1.260244785,12.85,11.78
2017-01-04,0.0995565,0.1217955,0.009911496692,-0.022239,0.035123,1.151899244,11.85,11.41
2017-01-05,0.098592,0.121198,0.009720382464,-0.022606,0.032075,2.153345661,11.67,11
2017-01-06,0.0972405,0.120458,0.00945571484,-0.0232175,0.027103,1.471657645,11.32,11.05
2017-01-09,0.098425,0.1217995,0.009687480625,-0.0233745,0.03041,1.804867769,11.56,10.73
2017-01-10,0.0984825,0.1218435,0.009698802806,-0.023361,0.030763,1.265496875,11.49,10.8
2017-01-11,0.096361,0.1199005,0.009285442321,-0.0235395,0.033154,1.658165757,11.26,10.68
2017-01-12,0.09794,0.1207255,0.0095922436,-0.0227855,0.030832,1.349942378,11.54,11.04
2017-01-13,0.093697,0.1187565,0.008779127809,-0.0250595,0.037508,1.44292063,11.23,10.62
2017-01-17,0.0981815,0.120887,0.009639606942,-0.0227055,0.040624,1.983557911,11.87,10.98
2017-01-18,0.0960285,0.1187085,0.009221472812,-0.02268,0.041335,3.410312481,12.48,11.23
2017-01-19,0.102119,0.122064,0.01042829016,-0.019945,0.040853,2.014724058,12.78,11.61
2017-01-20,0.0905375,0.115701,0.008197038906,-0.0251635,0.040114,1.427303264,11.54,10.5
2017-01-23,0.0958395,0.120685,0.00918520976,-0.0248455,0.039494,1.885227212,11.77,10.77
2017-01-24,0.0899575,0.114941,0.008092351806,-0.0249835,0.031195,1.505471294,11.07,10.56
2017-01-25,0.0871205,0.112297,0.00758998152,-0.0251765,0.026319,0.9874267011,10.81,10.09
2017-01-26,0.0886185,0.1136335,0.007853238542,-0.025015,0.0266,1.856614592,10.63,9.39
2017-01-27,0.0856105,0.1134095,0.00732915771,-0.027799,0.025696,1.815507501,10.58,9.87
2017-01-30,0.0963455,0.120186,0.00928245537,-0.0238405,0.031965,1.739909513,11.88,10.63
2017-01-31,0.0962985,0.1206425,0.009273401102,-0.024344,0.038625,1.363945464,11.99,11.07
2017-02-01,0.0932745,0.1192565,0.00870013235,-0.025982,0.035263,1.402696152,11.81,10.83
2017-02-02,0.094462,0.1205825,0.008923069444,-0.0261205,0.037552,2.129880195,11.93,10.92
2017-02-03,0.085805,0.1159975,0.007362498025,-0.0301925,0.03089,1.009231455,10.97,10.14
2017-02-06,0.089307,0.1184505,0.007975740249,-0.0291435,0.034391,3.155551502,11.37,10.11
2017-02-07,0.090801,0.119768,0.008244821601,-0.028967,0.03417,1.885995326,11.29,10.09
2017-02-08,0.09115,0.121114,0.0083083225,-0.029964,0.037833,2.312591904,11.45,10.37
2017-02-09,0.088942,0.119614,0.007910679364,-0.030672,0.028783,1.227038556,10.88,10.4
2017-02-10,0.0865075,0.117393,0.007483547556,-0.0308855,0.028522,1.351493283,10.85,10.41
2017-02-13,0.087809,0.1145445,0.007710420481,-0.0267355,0.028023,0.8978068074,11.07,10.34
2017-02-14,0.0835105,0.110676,0.00697400361,-0.0271655,0.026193,1.49352278,10.74,9.07
2017-02-15,0.0926665,0.111145,0.008587080222,-0.0184785,0.024769,1.508723245,11.97,10.77
2017-02-16,0.0926675,0.113198,0.008587265556,-0.0205305,0.027802,1.936173289,11.76,10.54
2017-02-17,0.087499,0.1127125,0.007656075001,-0.0252135,0.033687,1.528977375,11.49,11.27
2017-02-21,0.092115,0.116042,0.008485173225,-0.023927,0.02603,1.528552503,11.57,10.53
2017-02-22,0.0930585,0.1194695,0.008659884422,-0.026411,0.026687,1.975553809,11.74,10.49
2017-02-23,0.093087,0.1230725,0.008665189569,-0.0299855,0.032714,1.982361662,11.71,10.72
2017-02-24,0.090358,0.1238215,0.008164568164,-0.0334635,0.034318,1.545590446,11.47,10.65
2017-02-27,0.097469,0.125514,0.009500205961,-0.028045,0.028559,1.596560088,12.09,10.77
2017-02-28,0.104465,0.1292455,0.01091293623,-0.0247805,0.025962,1.696063928,12.92,11.28
2017-03-01,0.1002715,0.1250125,0.01005437371,-0.024741,0.0189,1.421309923,12.54,11.68
2017-03-02,0.0973145,0.126392,0.00947011191,-0.0290775,0.020272,1.258497372,11.81,12
2017-03-03,0.0889035,0.121427,0.007903832312,-0.0325235,0.017386,1.4438941,10.96,10.08
2017-03-06,0.0922005,0.121379,0.0085009322,-0.0291785,0.016184,1.661679235,11.24,9.76
2017-03-07,0.093861,0.121708,0.008809887321,-0.027847,0.022791,1.505215201,11.45,10.18
2017-03-08,0.0954955,0.1219235,0.00911939052,-0.026428,0.025088,1.486841446,11.86,10.53
2017-03-09,0.0990325,0.1236255,0.009807436056,-0.024593,0.031821,1.880234818,12.3,11.17
2017-03-10,0.0921945,0.11903,0.00849982583,-0.0268355,0.032556,1.435484143,11.66,10.5
2017-03-13,0.092654,0.1192965,0.008584763716,-0.0266425,0.02908,1.218771091,11.35,9.77
2017-03-14,0.098236,0.121352,0.009650311696,-0.023116,0.029054,1.540571464,12.3,10.4
2017-03-15,0.092259,0.1167945,0.008511723081,-0.0245355,0.022872,1.082174461,11.63,9.85
2017-03-16,0.08686,0.1121685,0.0075446596,-0.0253085,0.031261,0.832347719,11.21,9.29
2017-03-17,0.0875665,0.115187,0.007667891922,-0.0276205,0.028294,1.965566858,11.28,9.15
2017-03-20,0.089183,0.1145415,0.007953607489,-0.0253585,0.033884,1.677171355,11.34,9.39
2017-03-21,0.103841,0.122212,0.01078295328,-0.018371,0.042997,1.522415449,12.47,11.21
2017-03-22,0.1048005,0.1207795,0.0109831448,-0.015979,0.038906,1.271056347,12.81,11.85
2017-03-23,0.1098095,0.1232275,0.01205812629,-0.013418,0.041336,1.344915752,13.12,12.22
2017-03-24,0.108445,0.12208,0.01176031802,-0.013635,0.043495,1.956608474,12.96,13.34
2017-03-27,0.1045325,0.118252,0.01092704356,-0.0137195,0.039114,1.884525592,12.5,11.41
2017-03-28,0.0945945,0.1126545,0.00894811943,-0.01806,0.026135,1.386041411,11.53,10.43
2017-03-29,0.0925105,0.1109365,0.00855819261,-0.018426,0.030778,1.247566877,11.42,10.07
2017-03-30,0.09349,0.1097985,0.0087403801,-0.0163085,0.031769,1.402757925,11.54,9.99
2017-03-31,0.098187,0.111538,0.009640686969,-0.013351,0.032039,1.769470657,12.37,10.47
2017-04-03,0.1014795,0.111901,0.01029808892,-0.0104215,0.038783,1.525347518,12.38,10.45
2017-04-04,0.0976875,0.109305,0.009542847656,-0.0116175,0.039547,1.478632569,11.79,9.93
2017-04-05,0.1039365,0.113408,0.01080279603,-0.0094715,0.039418,1.469031652,12.89,11.47
2017-04-06,0.1027475,0.1102075,0.01055704876,-0.00746,0.043751,1.337267649,12.39,11.31
2017-04-07,0.1062375,0.11479,0.01128640641,-0.0085525,0.048717,1.50509409,12.87,11.66
2017-04-10,0.1142925,0.1191915,0.01306277556,-0.004899,0.051986,1.833828199,14.05,11.81
2017-04-11,0.1217435,0.123113,0.01482147979,-0.0013695,0.064752,1.385611249,15.07,12.75
2017-04-12,0.126486,0.12566,0.0159987082,0.000826,0.05931,1.408157674,15.77,13.03
2017-04-13,0.1320385,0.1287055,0.01743416548,0.003333,0.057509,1.660220028,15.96,14.4
2017-04-17,0.1189755,0.120962,0.0141551696,-0.0019865,0.060308,1.520620836,14.66,13.29
2017-04-18,0.1193035,0.121536,0.01423332511,-0.0022325,0.054028,1.439674165,14.42,13.02
2017-04-19,0.122609,0.1246485,0.01503296688,-0.0020395,0.054696,1.720178798,14.93,13.87
2017-04-20,0.110966,0.1180095,0.01231345316,-0.0070435,0.04941,2.057492299,14.15,12.67
2017-04-21,0.1163615,0.118013,0.01353999868,-0.0016515,0.053453,1.890245902,14.63,13.36
2017-04-24,0.085436,0.102293,0.007299310096,-0.016857,0.034966,1.845910479,10.84,9.42
2017-04-25,0.083749,0.1014595,0.007013895001,-0.0177105,0.02363,0.9685720039,10.76,8.62
2017-04-26,0.085039,0.1032295,0.007231631521,-0.0181905,0.026579,1.295178782,10.85,9.65
2017-04-27,0.083252,0.1024275,0.006930895504,-0.0191755,0.030192,1.239993162,10.36,9.93
2017-04-28,0.084189,0.103209,0.007087787721,-0.01902,0.034388,1.715753062,10.82,9.25
2017-05-01,0.0813405,0.102288,0.00661627694,-0.0209475,0.031149,1.361630877,10.11,9.13
2017-05-02,0.0831275,0.102688,0.006910181256,-0.0195605,0.035351,1.475420564,10.59,10.19
2017-05-03,0.084566,0.104808,0.007151408356,-0.020242,0.033896,1.054099987,10.68,9.63
2017-05-04,0.082576,0.102636,0.006818795776,-0.02006,0.03406,1.214495408,10.46,10.56
2017-05-05,0.081723,0.1025625,0.006678648729,-0.0208395,0.035858,1.828726072,10.57,9.93
2017-05-08,0.076404,0.1008495,0.005837571216,-0.0244455,0.030615,1.535311912,9.77,9.61
2017-05-09,0.0792015,0.1024155,0.006272877602,-0.023214,0.031889,1.582590591,9.96,9.44
2017-05-10,0.079832,0.1038145,0.006373148224,-0.0239825,0.035733,1.74433921,10.21,9.48
2017-05-11,0.083679,0.1061335,0.007002175041,-0.0224545,0.037464,1.551572713,10.6,9.91
2017-05-12,0.0823425,0.1066,0.006780287306,-0.0242575,0.039098,1.998949676,10.4,9.56
2017-05-15,0.0794535,0.103601,0.006312858662,-0.0241475,0.037168,1.688188031,10.42,9.51
2017-05-16,0.079786,0.1035045,0.006365805796,-0.0237185,0.03897,1.582159022,10.65,10.12
2017-05-17,0.1218425,0.1251615,0.01484559481,-0.003319,0.065797,1.981216383,15.59,13.88
2017-05-18,0.1114955,0.120254,0.01243124652,-0.0087585,0.05855,1.641006436,14.66,12.69
2017-05-19,0.0962105,0.111788,0.00925646031,-0.0155775,0.051164,2.013074793,12.04,11.07
2017-05-22,0.0870755,0.1065655,0.0075821427,-0.01949,0.042635,1.442800579,10.93,9.59
2017-05-23,0.0850125,0.105104,0.007227125156,-0.0200915,0.044871,1.941775652,10.72,9.54
2017-05-24,0.079993,0.1022415,0.006398880049,-0.0222485,0.038067,1.899185561,10.02,8.97
