date,wiki_sp500,wiki_crash,wiki_recession,wiki_vix
2017-01-01,532,409,442,270
2017-01-02,729,557,663,396
2017-01-03,983,616,704,659
2017-01-04,1089,696,712,672
2017-01-05,1042,684,874,655
2017-01-06,948,712,735,591
2017-01-07,690,524,585,318
2017-01-08,671,635,699,314
2017-01-09,849,742,896,608
2017-01-10,908,800,837,642
2017-01-11,941,815,965,594
2017-01-12,913,869,999,765
2017-01-13,769,861,821,573
2017-01-14,664,641,607,391
2017-01-15,647,636,753,363
2017-01-16,793,737,912,666
2017-01-17,917,898,1030,777
2017-01-18,889,939,946,668
2017-01-19,825,954,946,578
2017-01-20,753,997,1285,534
2017-01-21,579,641,670,321
2017-01-22,611,706,789,363
2017-01-23,894,1015,968,712
2017-01-24,939,1087,1017,678
2017-01-25,1271,1263,1004,1118
2017-01-26,1193,1125,1114,855
2017-01-27,881,877,874,832
2017-01-28,664,560,685,428
2017-01-29,597,692,778,402
2017-01-30,996,1047,941,1423
2017-01-31,977,973,921,1138
2017-02-01,964,941,945,896
2017-02-02,931,783,900,801
2017-02-03,878,815,766,661
2017-02-04,610,591,626,373
2017-02-05,705,666,743,342
2017-02-06,884,908,877,822
2017-02-07,930,906,979,838
2017-02-08,1004,868,932,664
2017-02-09,938,925,947,636
2017-02-10,912,805,824,591
2017-02-11,662,610,1031,302
2017-02-12,697,716,751,395
2017-02-13,937,901,975,739
2017-02-14,1017,910,876,724
2017-02-15,984,937,978,883
2017-02-16,1053,909,998,914
2017-02-17,963,776,794,696
2017-02-18,622,569,670,402
2017-02-19,743,939,829,430
2017-02-20,879,810,915,546
2017-02-21,915,989,1105,768
2017-02-22,1027,912,1041,765
2017-02-23,972,882,949,681
2017-02-24,852,824,743,693
2017-02-25,679,665,639,385
2017-02-26,735,687,758,380
2017-02-27,993,912,1006,755
2017-02-28,1107,1015,1069,792
2017-03-01,1268,1098,1103,728
2017-03-02,1118,1068,1015,678
2017-03-03,967,818,827,694
2017-03-04,661,580,587,402
2017-03-05,705,731,748,393
2017-03-06,895,1013,974,744
2017-03-07,951,983,914,797
2017-03-08,966,993,1033,667
2017-03-09,877,953,894,676
2017-03-10,811,815,798,601
2017-03-11,621,565,635,404
2017-03-12,609,588,671,371
2017-03-13,820,871,838,663
2017-03-14,905,828,954,763
2017-03-15,870,816,860,703
2017-03-16,848,874,889,653
2017-03-17,702,778,745,581
2017-03-18,547,543,669,323
2017-03-19,573,764,687,308
2017-03-20,763,915,902,562
2017-03-21,905,1053,963,786
2017-03-22,971,1238,1124,949
2017-03-23,791,942,1103,607
2017-03-24,745,769,746,680
2017-03-25,575,591,557,352
2017-03-26,601,648,647,322
2017-03-27,784,932,791,912
2017-03-28,821,898,903,811
2017-03-29,894,853,842,692
2017-03-30,855,813,775,594
2017-03-31,762,725,672,646
2017-04-01,561,539,500,359
2017-04-02,580,648,625,346
2017-04-03,807,949,862,599
2017-04-04,929,907,812,554
2017-04-05,840,881,795,610
2017-04-06,814,838,792,591
2017-04-07,739,729,659,567
2017-04-08,550,512,495,270
2017-04-09,537,499,651,259
2017-04-10,818,820,745,582
2017-04-11,784,769,694,1005
2017-04-12,751,775,762,1057
2017-04-13,674,791,684,784
2017-04-14,584,522,519,533
2017-04-15,485,415,432,377
