horizon,model,qlike_mean,qlike_median,mse,collapsed,dm_vs_har,p_vs_har,n_obs,mcs_pvalue,in_mcs,qlike_delta_vs_har,block
1,har,0.20985701845198018,0.08396104417422634,0.002193288702915521,0,,,726,0.0105,False,0.0,baseline
1,har_x__atm_ivar_30,0.19644374711165913,0.07997314925818932,0.001993465650603992,0,-3.0779114776552583,0.0020845682795054277,726,1.0,True,-0.013413271340321054,option
1,har_x__atm_iv_30,0.20638065077049847,0.06777281660633849,0.0019204456565789071,0,-0.4946751563415594,0.6208294409990893,726,0.2795,True,-0.0034763676814817124,option
1,har_x__skew_25d_30,0.22039207562989882,0.07975877311264401,0.0021595466258046924,0,3.241300925654964,0.0011898550704332322,726,0.003,False,0.010535057177918639,option
1,har_x__term_slope_30_91,0.20002696867041522,0.09164269154239202,0.002095662406903917,0,-1.7161859698372857,0.08612801027444594,726,0.523,True,-0.009830049781564959,option
1,har_x__vix_vol,0.21111594287290444,0.06766688007099819,0.0019245860641095578,0,0.16437304926411322,0.8694374785588275,726,0.1365,True,0.0012589244209242623,option
1,har_x__spy_put_call,0.21571746254693513,0.08678781289605841,0.002183766361939163,0,3.4203604878139076,0.0006253820374950703,726,0.003,False,0.005860444094954953,option
1,har_x__wiki_attention,0.2112810631527458,0.08483987871985366,0.0021683076849208904,0,0.6112317196614336,0.5410461869510244,726,0.0105,False,0.0014240447007656254,attention
1,har_x__epu_log,0.20689347686897525,0.08673435173033939,0.0021956651159331865,0,-1.423792996171283,0.15450640375358793,726,0.0105,False,-0.002963541583004936,uncertainty
1,har_x__emv_overall,0.21001212467590621,0.08422236117072968,0.0021959210383389917,0,0.4566304261970087,0.6479367059641326,726,0.0105,False,0.00015510622392603257,uncertainty
1,har_x__is_fomc,0.2093989624723748,0.08355014681958883,0.00218790152846315,0,-0.6975924977847341,0.48543207466778227,726,0.0105,False,-0.0004580559796053818,calendar
1,har_x__is_cpi,0.21043015458817743,0.0856629857129878,0.0022026676944942756,0,0.5065855455199324,0.6124456524763588,726,0.0105,False,0.0005731361361972498,calendar
