horizon,model,qlike_mean,qlike_median,mse,collapsed,dm_vs_base,p_vs_base,n_obs,mcs_pvalue,in_mcs,qlike_delta_vs_base,block
1,har_rs_iv,0.1947021951371345,0.07876293531439449,0.0020114892780049615,0,,,720,0.886,True,0.0,baseline
1,rich_x__atm_iv_30,0.1997708687900689,0.06589656428437396,0.0019245044991527485,0,1.0400191672518693,0.29833099576032174,720,0.821,True,0.005068673652934397,option
1,rich_x__skew_25d_30,0.19464666673099543,0.07770740537329834,0.0020118510175145977,0,-0.2560332076802876,0.7979251956751976,720,0.917,True,-5.5528406139065956e-05,option
1,rich_x__term_slope_30_91,0.19044567190294537,0.0890135445918725,0.0019693172488117632,0,-1.169939549907795,0.24202529645673865,720,1.0,True,-0.004256523234189125,option
1,rich_x__vix_vol,0.19914102044003903,0.07092540928626812,0.0019201436257167363,0,0.995237642828355,0.3196206977797553,720,0.732,True,0.004438825302904542,option
1,rich_x__spy_put_call,0.19921147051772972,0.07292065826322969,0.0020080609644474697,0,3.1481116734127697,0.0016432890122577426,720,0.0285,False,0.004509275380595229,option
1,rich_x__gdelt_tone_mkt,0.21195760311038037,0.06947956526018162,0.0020076620925265003,0,3.6601220989630314,0.0002520950945021916,720,0.0265,False,0.017255407973245873,news
1,rich_x__gdelt_share_mkt,0.19785967579806243,0.07777906289886516,0.002029512460075517,0,2.1110159340209864,0.03477094230454614,720,0.418,True,0.0031574806609279416,news
1,rich_x__gdelt_tone_econ,0.1992713058258788,0.0711187516855547,0.0020111901770223815,0,2.777984778019948,0.005469718055341355,720,0.133,True,0.004569110688744299,news
1,rich_x__gdelt_share_econ,0.19382511650429177,0.07818868659159706,0.00201314033301371,0,-1.3156423420394632,0.18829411485213687,720,0.917,True,-0.000877078632842726,news
1,rich_x__wiki_attention,0.1955741356036252,0.07818958429702416,0.0019639471571544593,0,0.29057889702968204,0.7713734017021627,720,0.917,True,0.0008719404664906949,attention
