horizon,model,qlike_mean,qlike_median,mse,collapsed,dm_vs_base,p_vs_base,n_obs,mcs_pvalue,in_mcs,qlike_delta_vs_base,block
1,har_rs_iv,0.2036684410588172,0.08461395790614645,0.0021257378542037073,0,,,721,0.652,True,0.0,baseline
1,rich_x__atm_iv_30,0.2098037189970711,0.07615215513774176,0.0020913508330688405,0,1.937574243287376,0.052675187379964905,721,0.3505,True,0.006135277938253886,option
1,rich_x__skew_25d_30,0.2072936506323761,0.08436534665908324,0.0021324535733243844,0,3.3544326378920744,0.0007952791374201684,721,0.0175,False,0.003625209573558885,option
1,rich_x__term_slope_30_91,0.20172108262236765,0.09114779484928426,0.002121789183405546,0,-0.8334009413800557,0.4046186439786199,721,1.0,True,-0.0019473584364495533,option
1,rich_x__vix_vol,0.20859181178996594,0.07830535984599862,0.002108360699893661,0,2.548226444942437,0.010827216521324567,721,0.086,False,0.004923370731148735,option
1,rich_x__spy_put_call,0.20318788276444782,0.08450754905467073,0.0021293581839751828,0,-1.2039120645276782,0.22862356822227836,721,0.701,True,-0.000480558294369382,option
1,rich_x__gdelt_tone_mkt,0.21177547128954707,0.07591459555019364,0.0021223212516824244,0,2.947364987851189,0.0032049467144514843,721,0.0935,False,0.008107030230729867,news
1,rich_x__gdelt_share_mkt,0.2036276210212262,0.08355152278087918,0.002129491715482315,0,-0.1109606526193084,0.9116475486561622,721,0.701,True,-4.0820037591010605e-05,news
1,rich_x__gdelt_tone_econ,0.20939428873992855,0.08175637886523845,0.0021246672731691186,0,2.52237987909502,0.011656375310951539,721,0.167,True,0.00572584768111134,news
1,rich_x__gdelt_share_econ,0.2019000649226751,0.08203961128718884,0.002124928806491637,0,-1.6243505841361805,0.10430100714302326,721,0.9375,True,-0.0017683761361421135,news
1,rich_x__wiki_attention,0.20513799929693852,0.08363340647487782,0.0021293991174658076,0,2.0041013148420403,0.045059208610333856,721,0.28,True,0.0014695582381213101,attention
1,rich_x__epu_log,0.20526755841779667,0.08158260432380837,0.0021331164712132572,0,1.3582335054414443,0.17438960209108334,721,0.5865,True,0.0015991173589794683,uncertainty
1,rich_x__emv_overall,0.2034416365229649,0.0856205778871384,0.002134242110747934,0,-0.2864401240046419,0.7745410469801659,721,0.701,True,-0.0002268045358523041,uncertainty
1,rich_x__is_fomc,0.2051479778227733,0.08366901443117047,0.0021275795425476536,0,1.9562798277042095,0.05043219916809227,721,0.25,True,0.0014795367639560963,calendar
1,rich_x__is_cpi,0.20335869278301785,0.08544246924942822,0.002114606267945219,0,-0.3251984005468288,0.745030919132228,721,0.701,True,-0.00030974827579935416,calendar
1,rich_x__is_payrolls,0.20423207804717725,0.08559366720949058,0.0021279555629989213,0,0.7802191388138799,0.43526189888536626,721,0.652,True,0.000563636988360039,calendar
5,har_rs_iv,0.21095823228024338,0.06093421091955031,0.0023369195748818732,0,,,721,0.434,True,0.0,baseline
5,rich_x__atm_iv_30,0.2174974801252578,0.05650721846643103,0.0022881030483258022,0,1.2119464119129049,0.2255328943949153,721,0.5995,True,0.006539247845014418,option
5,rich_x__skew_25d_30,0.2175030563717063,0.05753966330223492,0.0023619014804986413,0,2.2549588427894363,0.024135912273497206,721,0.3515,True,0.006544824091462925,option
5,rich_x__term_slope_30_91,0.21162638299376968,0.06755653066664413,0.0023523684937095013,0,0.20277855644444898,0.8393081192094649,721,0.894,True,0.0006681507135262998,option
5,rich_x__vix_vol,0.2154792412114505,0.05623523358704574,0.0023323960196472426,0,1.417263237860441,0.15640597902645514,721,0.563,True,0.004521008931207132,option
5,rich_x__spy_put_call,0.21195469079481238,0.06110500375381167,0.0023388144192503404,0,2.121713693434388,0.03386178800882966,721,0.343,True,0.0009964585145690041,option
5,rich_x__gdelt_tone_mkt,0.2275407176797223,0.058341710634478794,0.0023333442129489326,0,2.02998067449447,0.04235850371905592,721,0.4215,True,0.01658248539947893,news
5,rich_x__gdelt_share_mkt,0.2120351621038487,0.06429561417808372,0.0023427851846968325,0,0.8936593736681768,0.3715041684236393,721,0.5995,True,0.001076929823605327,news
5,rich_x__gdelt_tone_econ,0.2245179281943787,0.054690923097572064,0.002328412338310874,0,2.107460778506322,0.03507765802558427,721,0.39,True,0.013559695914135333,news
5,rich_x__gdelt_share_econ,0.21448330731443033,0.05849634696282724,0.002344738585739334,0,1.576488702103191,0.11491322044701358,721,0.5525,True,0.0035250750341869475,news
5,rich_x__wiki_attention,0.21147674571160047,0.06219192817712993,0.0023406068562335253,0,1.7051046466139423,0.08817490917543025,721,0.136,True,0.0005185134313570872,attention
5,rich_x__epu_log,0.21534639970436395,0.061264126820670395,0.0023507109642860063,0,2.143994329382578,0.032033341149420025,721,0.39,True,0.00438816742412057,uncertainty
5,rich_x__emv_overall,0.21219266411429585,0.06052764270638744,0.0023578530905430037,0,1.2923351057690469,0.19624111951189183,721,0.522,True,0.001234431834052474,uncertainty
5,rich_x__is_fomc,0.21048502595396165,0.06128335788485817,0.002335370871484704,0,-1.7844903191676051,0.07434402648644678,721,1.0,True,-0.00047320632628172765,calendar
5,rich_x__is_cpi,0.2107662134193203,0.06181449601589373,0.0023321951732536077,0,-0.29376360502359145,0.7689385475847454,721,0.894,True,-0.00019201886092307108,calendar
5,rich_x__is_payrolls,0.2115284723841805,0.06023754966824835,0.002339592188239634,0,2.396382715761928,0.016557791560160684,721,0.1195,True,0.0005702401039371086,calendar
21,har_rs_iv,0.24622064504147848,0.10668112553331088,0.002458434668253187,0,,,721,0.9615,True,0.0,baseline
21,rich_x__atm_iv_30,0.24947048030510946,0.08769291969367132,0.0023664471416349254,0,0.3346519052129828,0.7378876855061636,721,0.9615,True,0.0032498352636309846,option
21,rich_x__skew_25d_30,0.25636977353054624,0.09112134752923273,0.002494748140603641,0,0.8421881830493836,0.3996826272128915,721,0.6325,True,0.010149128489067766,option
21,rich_x__term_slope_30_91,0.2574677160246163,0.12173684712813682,0.0025645939738918916,0,2.30161672572789,0.021356796065757022,721,0.1435,True,0.011247070983137847,option
21,rich_x__vix_vol,0.24904087157565513,0.09258711072789882,0.002432473936811384,0,0.3174047659897338,0.7509364913101999,721,0.9615,True,0.0028202265341766564,option
21,rich_x__spy_put_call,0.25224929952971903,0.10471120223705999,0.0024745188157807765,0,1.305543890925416,0.1917077119245887,721,0.202,True,0.0060286544882405535,option
21,rich_x__gdelt_tone_mkt,0.3006893692362501,0.06785399247286872,0.002423274759573744,0,1.2301834308142634,0.2186284231096165,721,0.6325,True,0.05446872419477164,news
21,rich_x__gdelt_share_mkt,0.2519811154486378,0.10827319689573489,0.0024860840850632307,0,1.1960889419040373,0.2316618524364622,721,0.337,True,0.0057604704071593515,news
21,rich_x__gdelt_tone_econ,0.26444155169681494,0.06866501042651652,0.002330798470271796,0,0.7550093421812885,0.4502433768088143,721,0.909,True,0.01822090665533646,news
21,rich_x__gdelt_share_econ,0.2564781873370629,0.0926115496802895,0.002464626281384039,0,0.8168410283496265,0.4140192821511177,721,0.793,True,0.010257542295584426,news
21,rich_x__wiki_attention,0.24804643037861618,0.10588500213054264,0.002470229852888939,0,1.0917074755602236,0.27496169831983064,721,0.793,True,0.001825785337137703,attention
21,rich_x__epu_log,0.26478456438252107,0.10830778612001413,0.002542687726555032,0,2.0723445164346153,0.038233323680200826,721,0.067,False,0.018563919341042595,uncertainty
21,rich_x__emv_overall,0.2435335682983478,0.0923042670791614,0.0024118457973016484,0,-0.6165492605091496,0.5375320706134574,721,1.0,True,-0.0026870767431306786,uncertainty
21,rich_x__is_fomc,0.24625700740747095,0.10717691085995207,0.0024595788089629375,0,0.040156318642996555,0.9679685021921396,721,0.9615,True,3.636236599247056e-05,calendar
21,rich_x__is_cpi,0.24609275579493814,0.10663768185753364,0.0024573669605583138,0,-0.5218410883061239,0.6017809788935726,721,0.9615,True,-0.00012788924654033584,calendar
21,rich_x__is_payrolls,0.24636415757587732,0.10592955385730685,0.0024600220426548684,0,0.6464565532806031,0.5179837254448194,721,0.9615,True,0.00014351253439884304,calendar
