horizon,model,qlike_mean,qlike_median,mse,collapsed,dm_vs_har,p_vs_har,n_obs,mcs_pvalue,in_mcs
1,persistence,0.2782762248012071,0.10487439736465909,0.0026002858045734547,0,5.4690510766045275,4.524513608217262e-08,720,0.0,False
1,har,0.2094735510394348,0.08362446341693242,0.002225411199011279,0,,,720,0.0055,False
1,shar,0.2102059503128326,0.08543546912739586,0.002207906733075637,0,0.3673283813605401,0.7133740862814415,720,0.0055,False
1,har_rv_iv,0.19530049195903013,0.07971493995572587,0.002018717216608852,0,-3.2498745031157297,0.0011545594670712145,720,0.1365,True
1,har_x_lasso,0.1841110779677014,0.08145882473903698,0.001856349628393944,0,-3.0554649204479873,0.002247118881760324,720,1.0,True
1,hgb,0.19451138890775224,0.08732612097115866,0.002065240680986235,0,-1.3813410690229324,0.1671741162426832,720,0.164,True
1,lstm,0.22860598187956102,0.07953246928741531,0.0032611554312723533,0,2.3290845024752893,0.01985458951951835,720,0.0335,False
1,lstm_x,0.18726974968351087,0.0769722723952021,0.0017707431926476968,0,-1.7533829548982311,0.07953629480844393,720,0.821,True
1,combination,0.18708604579803884,0.08088846315948717,0.001969088892562053,0,-4.095033820365339,4.22106765112229e-05,720,0.821,True
5,persistence,0.35295088554815685,0.09526642573371835,0.003176980048834,0,5.127516410588647,2.935893963496028e-07,720,0.0,False
5,har,0.2090336110339613,0.059478715524635795,0.002464549938138427,0,,,720,0.102,True
5,shar,0.20991954681096503,0.06285753808597494,0.0024474714372543977,0,1.3059814221726898,0.19155887537503657,720,0.102,True
5,har_rv_iv,0.20329096444183353,0.0569010331282771,0.0022126662990460096,0,-0.6191828929875537,0.5357958802127831,720,0.378,True
5,har_x_lasso,0.18659172765830492,0.0522551955460866,0.002058080179496639,0,-2.5244962759473104,0.011586423253956202,720,0.86,True
5,hgb,0.18467272568521953,0.06356479350450095,0.0021847310779406575,0,-1.46796976501159,0.14211243591002987,720,1.0,True
5,lstm,0.24296370601295725,0.07267688797668659,0.004141733326925449,0,2.1400401114345646,0.03235152527354623,720,0.046,False
5,lstm_x,0.2493871533911631,0.05780128012924479,0.002327908026867176,0,1.4678251219146783,0.14215173166526207,720,0.1145,True
5,combination,0.19475723837530418,0.05672395794759966,0.002245950107398837,0,-2.2502174511488544,0.02443514503895705,720,0.378,True
21,persistence,0.5810529556236754,0.12197979383440827,0.004167283428159558,0,3.70720347694937,0.00020956056426757463,720,0.0005,False
21,har,0.2451792702562146,0.10230076220995954,0.002433405259053657,0,,,720,0.582,True
21,shar,0.24530652139246378,0.10417527676346228,0.0024378938881115635,0,0.3822765706439391,0.7022562313179821,720,0.582,True
21,har_rv_iv,0.24848815210905925,0.10414389847741001,0.0023900895418385907,0,0.720864171679583,0.470993088437498,720,0.344,True
21,har_x_lasso,0.2529634616919686,0.06101831099578414,0.002128019254140279,0,0.3025309000239309,0.7622473815226194,720,0.582,True
21,hgb,0.2277800399986543,0.0546962202583392,0.0021573583538489274,0,-0.8587751980682926,0.39046455356328336,720,1.0,True
21,lstm,0.26408210256427306,0.0998642440164641,0.0025769732900633216,0,1.1107239063841676,0.2666872087302681,720,0.0565,False
21,lstm_x,0.31415705300822105,0.056178070795181556,0.002687301588291835,0,1.9318476187080167,0.05337831665106263,720,0.025,False
21,combination,0.23318656342676702,0.074959480840888,0.002173241046109447,0,-1.1526425286425348,0.2490571396377952,720,0.7305,True
