horizon,model,qlike_mean,qlike_median,mse,collapsed,dm_vs_har,p_vs_har,n_obs,mcs_pvalue,in_mcs
1,persistence,0.2784866583810202,0.10425391937648931,0.0025890180033561272,0,5.461691956929483,4.716179180519475e-08,723,0.0,False
1,har,0.21020243073590206,0.08354036965584766,0.002218841876218013,0,,,723,0.0015,False
1,shar,0.21097293142134718,0.08620502068051605,0.0022008554891823654,0,0.3885304891639984,0.6976234956536507,723,0.0,False
1,har_rv_iv,0.19653354692402802,0.08032124446822442,0.002014473152859663,0,-3.1150964140508193,0.0018388479434225946,723,0.101,True
1,har_x_lasso,0.18844794122866898,0.08604501253019992,0.0019795817355187707,0,-2.9154571435222736,0.0035516788247491604,723,0.898,True
1,hgb,0.19277937793428476,0.09018810205986094,0.002041770653566543,0,-1.6394579632649233,0.10111791851533947,723,0.8575,True
1,lstm,0.21939633854814652,0.08019411668187781,0.0023657821147512284,0,1.4547792278617628,0.14573039058950665,723,0.0055,False
1,lstm_x,0.19234472196991387,0.07581705342843326,0.0017661468949303231,0,-1.6187159156549957,0.10550840085112179,723,0.8575,True
1,combination,0.18783253030546535,0.08008932149685943,0.001935640240532855,0,-4.625834863651175,3.730924801548241e-06,723,1.0,True
5,persistence,0.3516647367933218,0.09540831312043752,0.0031520911870677524,0,5.127886377146463,2.9301318682506405e-07,723,0.0,False
5,har,0.20796679645468447,0.05957185687418809,0.002442666090057474,0,,,723,0.1295,True
5,shar,0.20889426043329717,0.06241784353022051,0.002426599118916243,0,1.382495068727655,0.16681974356737417,723,0.1295,True
5,har_rv_iv,0.20322196166241152,0.05773937746666369,0.0021958021158170245,0,-0.5101901960298635,0.6099182200089692,723,0.401,True
5,har_x_lasso,0.187164592103094,0.05636111901544405,0.0020676555740692533,0,-2.3671259371018483,0.017926831537373733,723,1.0,True
5,hgb,0.188813782267466,0.060293418545983135,0.0022121390170865155,0,-1.161291151209906,0.24552351683046747,723,0.8815,True
5,lstm,0.24014719514788022,0.07109515979151282,0.004611922670674523,0,1.8879174848326525,0.05903702884091344,723,0.085,False
5,lstm_x,0.24880088143897514,0.060928591598493176,0.0025224824371087146,0,1.2243270463828737,0.22082887794484618,723,0.254,True
5,combination,0.19486029371901717,0.05962913002597059,0.0022991342332563803,0,-1.9326222272829658,0.05328275222351242,723,0.509,True
21,persistence,0.5800104509107226,0.12156774395397729,0.004148905919223635,0,3.6988170914604344,0.00021660662156919308,723,0.002,False
21,har,0.24533093956590246,0.10467029860774701,0.002420935192744329,0,,,723,0.285,True
21,shar,0.2454470098971244,0.10500546707890002,0.0024254655230493243,0,0.346781706206496,0.7287553216279108,723,0.285,True
21,har_rv_iv,0.24896635547971785,0.10823820562733921,0.002379378994920094,0,0.7916799871246976,0.4285472943901294,723,0.285,True
21,har_x_lasso,0.24641308103259618,0.09499229189687419,0.0022469181098002614,0,0.07946775751176272,0.9366605762624829,723,0.285,True
21,hgb,0.21925128909022681,0.057053540954998816,0.002279488558363004,0,-1.0591287420159265,0.2895411518310542,723,1.0,True
21,lstm,0.2511476550038004,0.08849035629860902,0.002357968303262549,0,0.37887931329583435,0.7047774865739034,723,0.285,True
21,lstm_x,0.2783357648536284,0.07168609726820097,0.002616189341594202,0,1.0502687294668305,0.2935945779725522,723,0.2715,True
21,combination,0.23129637369931477,0.08574973421403187,0.002177237182045018,0,-1.517929673055108,0.12903212861026625,723,0.457,True
