horizon,model,qlike_mean,qlike_median,mse,collapsed,dm_vs_har,p_vs_har,n_obs,mcs_pvalue,in_mcs
1,persistence,0.2782762248012071,0.10487439736465909,0.0026002858045734547,0,5.4690510766045275,4.524513608217262e-08,720,0.0,False
1,har,0.2094735510394348,0.08362446341693242,0.002225411199011279,0,,,720,0.0055,False
1,shar,0.2102059503128326,0.08543546912739586,0.002207906733075637,0,0.3673283813605401,0.7133740862814415,720,0.005,False
1,har_rv_iv,0.19530049195903013,0.07971493995572587,0.002018717216608852,0,-3.2498745031157297,0.0011545594670712145,720,0.143,True
1,har_x_lasso,0.1841110779677014,0.08145882473903698,0.001856349628393944,0,-3.0554649204479873,0.002247118881760324,720,0.8685,True
1,hgb,0.19354048225297907,0.08813032078201044,0.002064318333370353,0,-1.4848812173523676,0.13757529237477994,720,0.1815,True
1,lstm,0.22960119022613895,0.08211421750496228,0.003005840477112216,0,2.5537100065308644,0.010658198355887771,720,0.0195,False
1,lstm_x,0.18280141240658224,0.07243807452904816,0.0016881158816470245,0,-2.078978537181616,0.037619323222228385,720,1.0,True
1,combination,0.18665160059968872,0.07816259885341603,0.001946660531799467,0,-4.1738831035480946,2.9945144540022284e-05,720,0.856,True
5,persistence,0.35295088554815685,0.09526642573371835,0.003176980048834,0,5.127516410588647,2.935893963496028e-07,720,0.0,False
5,har,0.2090336110339613,0.059478715524635795,0.002464549938138427,0,,,720,0.0645,False
5,shar,0.20991954681096503,0.06285753808597494,0.0024474714372543977,0,1.3059814221726898,0.19155887537503657,720,0.0555,False
5,har_rv_iv,0.20329096444183353,0.0569010331282771,0.0022126662990460096,0,-0.6191828929875537,0.5357958802127831,720,0.398,True
5,har_x_lasso,0.18659172765830492,0.0522551955460866,0.002058080179496639,0,-2.5244962759473104,0.011586423253956202,720,0.8985,True
5,hgb,0.185121817030802,0.06273599513522299,0.0021846273051257343,0,-1.4410898384806732,0.14955930392298944,720,1.0,True
5,lstm,0.2378408090509456,0.05925155269932991,0.004129222275268456,0,1.7263136854670325,0.08429099460113498,720,0.0645,False
5,lstm_x,0.2355711723812023,0.056982762312589474,0.0022679558453597704,0,1.4886617230169576,0.1365764692414082,720,0.0645,False
5,combination,0.19255357315671875,0.054766856281170395,0.002226250969169664,0,-2.6797079457212676,0.007368641937522735,720,0.529,True
21,persistence,0.5810529556236754,0.12197979383440827,0.004167283428159558,0,3.70720347694937,0.00020956056426757463,720,0.0005,False
21,har,0.2451792702562146,0.10230076220995954,0.002433405259053657,0,,,720,0.485,True
21,shar,0.24530652139246378,0.10417527676346228,0.0024378938881115635,0,0.3822765706439391,0.7022562313179821,720,0.485,True
21,har_rv_iv,0.24848815210905925,0.10414389847741001,0.0023900895418385907,0,0.720864171679583,0.470993088437498,720,0.356,True
21,har_x_lasso,0.2546046631333145,0.06518900511958658,0.0021372816304014324,0,0.36707592285345486,0.7135623863578866,720,0.485,True
21,hgb,0.2274640552933721,0.05712445894106466,0.002151190885504237,0,-0.897653904153895,0.36937009159315304,720,1.0,True
21,lstm,0.2542738567010623,0.08334741519954747,0.002464306906448093,0,0.5102698423890488,0.6098624276102713,720,0.356,True
21,lstm_x,0.3131724993715912,0.06864426126108691,0.0026713514491145222,0,2.012269242337239,0.044191562864502654,720,0.0065,False
21,combination,0.2314195335860898,0.08237084435265551,0.002142259589511844,0,-1.2905011262752437,0.19687672103905118,720,0.775,True
