horizon,model,qlike_calm,qlike_stressed,n_calm,n_stressed,delta_calm_vs_har,delta_stressed_vs_har
1,persistence,0.271576063850903,0.3404920050540309,650,70,0.0796859409400211,-0.03225623575053832
1,har,0.1918901229108819,0.3727482408045692,650,70,0.0,0.0
1,shar,0.19323332810199395,0.3678088708420487,650,70,0.0013432051911120568,-0.004939369962520479
1,har_rv_iv,0.17940882858378804,0.34286593758627804,650,70,-0.012481294327093856,-0.029882303218291162
1,har_x_lasso,0.17321462684945496,0.2852924097799898,650,70,-0.018675496061426933,-0.08745583102457938
1,hgb,0.18233427801188057,0.2975980930631793,650,70,-0.009555844899001326,-0.0751501477413899
1,lstm,0.19955385353989702,0.5086121737412422,650,70,0.007663730629015125,0.13586393293667304
1,lstm_x,0.17631273688412746,0.2430533994008052,650,70,-0.01557738602675443,-0.129694841403764
1,combination,0.17281341913590959,0.31514899990620915,650,70,-0.01907670377497231,-0.05759924089836005
5,persistence,0.32256119404730527,0.6351408780560645,650,70,0.16442782149623084,-0.046537804604702804
5,har,0.15813337255107443,0.6816786826607673,650,70,0.0,0.0
5,shar,0.15883326110292825,0.6842921998141642,650,70,0.0006998885518538223,0.0026135171533969714
5,har_rv_iv,0.15010169580085925,0.6971913161080233,650,70,-0.008031676750215183,0.015512633447256063
5,har_x_lasso,0.13967081237688045,0.6222859409858177,650,70,-0.01846256017419398,-0.05939274167494957
5,hgb,0.14542397384547606,0.5537446466088287,650,70,-0.012709398705598368,-0.12793403605193854
5,lstm,0.16522544772538705,0.9121263070739891,650,70,0.007092075174312623,0.23044762441322186
5,lstm_x,0.17819131367486218,0.7683841460829318,650,70,0.020057941123787754,0.08670546342216456
5,combination,0.14252667594980878,0.6570890472208832,650,70,-0.015606696601265652,-0.024589635439884017
21,persistence,0.5941793910956301,0.4591646262412377,650,70,0.3619573519956306,0.09366820953445426
21,har,0.23222203909999953,0.36549641670678346,650,70,0.0,0.0
21,shar,0.2322725974314915,0.3663358153157774,650,70,5.055833149197886e-05,0.0008393986089939576
21,har_rv_iv,0.235691185229696,0.36731713027457497,650,70,0.003469146129696482,0.0018207135677915098
21,har_x_lasso,0.24145604028321224,0.37669901816997814,650,70,0.009234001183212714,0.011202601463194684
21,hgb,0.2145611597922882,0.34727665637486554,650,70,-0.01766087930771132,-0.01821976033191791
21,lstm,0.22022372466341603,0.5704536541934918,650,70,-0.011998314436583501,0.20495723748670835
21,lstm_x,0.29059709932323763,0.5228012141063031,650,70,0.0583750602232381,0.15730479739951964
21,combination,0.216707516558867,0.3680311202674446,650,70,-0.01551452254113253,0.0025347035606611557
