horizon,window,window_end,persistence,har,shar,har_rv_iv,har_x_lasso,hgb,lstm,lstm_x,combination
1,252,2023-10-09,False,False,False,False,True,True,True,True,True
1,252,2023-11-07,False,False,False,True,True,True,True,True,True
1,252,2023-12-07,False,False,False,True,True,True,True,True,True
1,252,2024-01-09,False,False,False,True,True,True,True,True,True
1,252,2024-02-08,False,False,False,True,True,True,False,True,True
1,252,2024-03-11,False,False,False,True,True,True,False,True,True
1,252,2024-04-10,False,False,False,True,True,True,False,True,True
1,252,2024-05-09,False,False,False,True,True,True,False,True,True
1,252,2024-06-10,False,False,False,True,True,True,False,True,True
1,252,2024-07-11,False,False,False,True,True,True,False,True,True
1,252,2024-08-09,False,False,True,True,True,True,False,True,True
1,252,2024-09-10,False,False,True,True,True,True,False,True,True
1,252,2024-10-09,False,False,True,True,True,True,False,True,True
1,252,2024-11-07,False,False,True,True,True,True,True,True,True
1,252,2024-12-09,False,True,True,True,True,False,True,True,True
1,252,2025-01-10,False,True,True,True,True,True,True,True,True
1,252,2025-02-11,False,True,True,True,True,False,True,True,True
1,252,2025-03-13,False,True,True,True,True,False,True,True,True
1,252,2025-04-11,True,True,True,True,True,True,True,True,True
1,252,2025-05-13,True,True,True,True,True,True,True,True,True
1,252,2025-06-12,True,True,True,True,True,True,True,True,True
1,252,2025-07-23,True,True,True,True,True,False,True,True,True
1,252,2025-08-21,True,True,True,True,True,True,True,True,True
1,504,2024-10-09,False,False,False,False,True,True,False,True,True
1,504,2024-11-07,False,False,False,True,True,True,False,True,True
1,504,2024-12-09,False,False,False,True,True,False,False,True,True
1,504,2025-01-10,False,False,False,True,True,True,False,True,True
1,504,2025-02-11,False,False,False,True,True,False,False,True,True
1,504,2025-03-13,False,False,True,True,True,False,False,True,True
1,504,2025-04-11,False,True,True,True,True,True,False,True,True
1,504,2025-05-13,False,True,True,True,True,True,True,True,True
1,504,2025-06-12,False,True,True,True,True,True,True,True,True
1,504,2025-07-23,False,True,True,True,True,True,True,True,True
1,504,2025-08-21,False,True,True,True,True,True,True,True,True
5,252,2023-10-09,False,False,False,True,True,True,False,True,True
5,252,2023-11-07,False,False,False,True,True,True,False,True,True
5,252,2023-12-07,False,True,False,True,True,True,True,True,True
5,252,2024-01-09,False,True,False,True,True,True,False,True,True
5,252,2024-02-08,False,False,False,True,True,True,False,True,True
5,252,2024-03-11,False,False,False,True,True,True,False,True,True
5,252,2024-04-10,False,False,False,True,True,True,True,True,True
5,252,2024-05-09,False,False,False,False,True,False,True,True,True
5,252,2024-06-10,False,False,False,False,True,False,True,True,True
5,252,2024-07-11,False,False,False,False,True,False,True,True,True
5,252,2024-08-09,False,False,True,True,True,False,True,True,True
5,252,2024-09-10,False,True,True,True,True,False,True,True,True
5,252,2024-10-09,False,False,True,True,True,False,True,True,True
5,252,2024-11-07,False,True,True,True,True,False,True,False,True
5,252,2024-12-09,False,True,True,True,True,False,True,False,True
5,252,2025-01-10,False,True,True,True,True,False,True,False,True
5,252,2025-02-11,False,True,True,True,True,False,True,False,True
5,252,2025-03-13,False,True,True,True,True,False,True,False,True
5,252,2025-04-11,True,True,True,True,True,True,True,True,True
5,252,2025-05-13,True,True,True,True,True,True,True,True,True
5,252,2025-06-12,True,True,True,True,True,True,True,True,True
5,252,2025-07-23,True,True,True,True,True,True,True,False,True
5,252,2025-08-21,True,True,True,True,True,True,True,True,True
5,504,2024-10-09,False,False,False,True,True,True,True,True,True
5,504,2024-11-07,False,False,False,True,True,True,True,False,True
5,504,2024-12-09,False,True,False,True,True,False,True,False,True
5,504,2025-01-10,False,True,True,True,True,False,True,False,True
5,504,2025-02-11,False,True,True,True,True,False,True,False,True
5,504,2025-03-13,False,True,True,True,True,False,True,False,True
5,504,2025-04-11,False,True,True,True,True,True,True,True,True
5,504,2025-05-13,False,True,True,True,True,True,True,True,True
5,504,2025-06-12,False,True,True,True,True,True,True,True,True
5,504,2025-07-23,False,True,True,True,True,True,True,False,True
5,504,2025-08-21,False,True,True,True,True,True,True,True,True
21,252,2023-10-09,False,False,False,False,True,True,False,True,True
21,252,2023-11-07,False,False,False,False,True,True,False,True,True
21,252,2023-12-07,False,False,False,False,True,True,False,True,True
21,252,2024-01-09,False,False,False,False,True,True,False,True,True
21,252,2024-02-08,False,False,False,False,True,True,False,True,True
21,252,2024-03-11,False,False,False,False,True,True,False,True,True
21,252,2024-04-10,False,False,False,False,False,True,False,False,False
21,252,2024-05-09,False,False,False,False,True,True,False,True,True
21,252,2024-06-10,False,False,False,False,True,True,True,True,True
21,252,2024-07-11,False,False,False,False,True,True,True,True,True
21,252,2024-08-09,False,False,False,False,True,True,True,True,True
21,252,2024-09-10,False,True,True,False,True,True,True,True,True
21,252,2024-10-09,False,False,False,False,True,True,True,True,True
21,252,2024-11-07,False,True,True,True,True,True,True,True,True
21,252,2024-12-09,False,True,True,True,True,True,True,True,True
21,252,2025-01-10,False,True,True,False,True,True,True,True,True
21,252,2025-02-11,False,True,True,False,True,True,True,True,True
21,252,2025-03-13,False,True,True,True,True,True,True,True,True
21,252,2025-04-11,False,True,True,True,True,True,True,True,True
21,252,2025-05-13,False,True,True,True,True,True,True,True,True
21,252,2025-06-12,False,True,True,True,True,True,True,True,True
21,252,2025-07-23,False,True,True,True,True,True,True,False,True
21,252,2025-08-21,False,True,True,True,True,True,True,False,True
21,504,2024-10-09,False,False,False,False,True,True,False,True,True
21,504,2024-11-07,False,False,False,False,True,True,False,True,True
21,504,2024-12-09,False,False,False,False,True,True,True,True,True
21,504,2025-01-10,False,False,False,False,True,True,False,True,True
21,504,2025-02-11,False,False,False,False,True,True,False,True,True
21,504,2025-03-13,False,True,True,True,True,True,True,True,True
21,504,2025-04-11,False,True,True,True,True,True,True,True,True
21,504,2025-05-13,False,True,True,True,True,True,True,True,True
21,504,2025-06-12,False,True,True,True,True,True,True,True,True
21,504,2025-07-23,False,True,True,True,True,True,True,False,True
21,504,2025-08-21,False,True,True,True,True,True,True,False,True
