model,variant,sharpe_historical,mean_ann_historical,n_days_historical,n_trades_historical,sharpe_corrected,mean_ann_corrected,n_days_corrected,n_trades_corrected
hgb,both,-0.4820124750937558,-0.2674998030152744,726,380,-0.40793385816826616,-0.2601290857414172,366,200
combination,both,-0.5621037681483311,-0.3079690106273415,726,347,-0.4925454423102943,-0.30638648209723945,366,167
har_x_lasso,both,-0.6190391317357624,-0.3482425746585125,726,353,-0.5913392168329743,-0.3896597743508001,366,173
persistence,both,-0.6310586333530683,-0.2205897533312583,726,328,-0.6026739026529616,-0.22001312425108516,366,148
har_rv_iv,both,-0.6359151047057696,-0.2908431153118451,720,302,-0.515127676771864,-0.24190001172646894,366,122
har,both,-0.6720474423743361,-0.303601779633653,720,308,-0.5888710055924934,-0.26864095795596543,366,128
always_short,both,-0.720172781391781,-0.6625642195939718,726,719,-1.2061179559112476,-1.3055959181805628,366,359
shar,both,-0.7434533611244172,-0.3336795128796018,720,310,-0.6974128740839519,-0.3136044284304594,366,130
lstm,both,-0.9566154156113978,-0.4710736125061069,726,349,-1.1451518561738971,-0.6109523906106166,366,169
lstm_x,both,-0.969359783050505,-0.5709349113199426,726,410,-1.067562163854124,-0.7813861846272658,366,230
always_long,both,-1.1742122051521915,-1.0432950411708677,726,719,-0.29962236176581064,-0.31598954531484946,366,359
combination,long_only,-0.4925840211995075,-0.2373410209083235,726,249,-0.13988291591668123,-0.08250067306125222,366,136
har_x_lasso,long_only,-0.5071944619960781,-0.2441353505917751,726,243,-0.1820018652234546,-0.11036826262614018,366,136
hgb,long_only,-0.5407088045188861,-0.2769176797689489,726,287,-0.28042653817272734,-0.17897149421258615,366,171
har_rv_iv,long_only,-0.6314817479545524,-0.2453325562154907,720,204,-0.18004062513686084,-0.08025647304904009,366,93
har,long_only,-0.6689491888827692,-0.2559805124106467,720,210,-0.24667467886555638,-0.10699741927853672,366,99
shar,long_only,-0.7521194348800232,-0.2853465686608744,720,212,-0.355930470611211,-0.15196088975303107,366,101
persistence,long_only,-0.7888387755716464,-0.241641549455422,726,198,-0.3389378350702202,-0.12857795603313724,366,109
lstm_x,long_only,-0.8833360268648024,-0.4535706781803025,726,289,-0.6822624913545816,-0.4583022242513891,366,181
lstm,long_only,-0.9292085146170777,-0.3620072140407038,726,233,-0.669694513426485,-0.30457774064179255,366,124
always_long,long_only,-1.1742122051521915,-1.0432950411708677,726,719,-0.29962236176581064,-0.31598954531484946,366,359
