model,variant,n_days,mean_ann,vol_ann,sharpe,max_drawdown,worst_month,hit_rate,evaluation_start,evaluation_end,n_trades,trade_hit_rate,mean_trade_return,long_share,turnover_ann,trades_per_year
persistence,both,366,-0.22001312425108516,0.3650616415985339,-0.6026739026529616,-0.4121827203870012,-0.1514857411064746,0.38524590163934425,2024-03-15,2025-08-29,148,0.4729729729729729,-0.0453405424976903,0.7364864864864865,4.852459016393443,101.90163934426228
persistence,long_only,366,-0.12857795603313724,0.3793555712259118,-0.3389378350702202,-0.4158575954101254,-0.1514857411064746,0.31693989071038253,2024-03-15,2025-08-29,109,0.3853211009174312,-0.0359782354037689,1.0,3.5737704918032787,75.04918032786885
har,both,366,-0.26864095795596543,0.45619661250883287,-0.5888710055924934,-0.5058169149135122,-0.30494078493827725,0.34972677595628415,2024-03-15,2025-08-29,128,0.453125,-0.0640121032629451,0.7734375,4.19672131147541,88.1311475409836
har,long_only,366,-0.10699741927853672,0.433759232080942,-0.24667467886555638,-0.5058169149135122,-0.24319329047079927,0.2814207650273224,2024-03-15,2025-08-29,99,0.4242424242424242,-0.0329638513938932,1.0,3.245901639344263,68.16393442622952
shar,both,366,-0.3136044284304594,0.44966825260055193,-0.6974128740839519,-0.5338727842252933,-0.30494078493827714,0.3469945355191257,2024-03-15,2025-08-29,130,0.4384615384615384,-0.0735764235933005,0.7769230769230769,4.262295081967213,89.50819672131148
shar,long_only,366,-0.15196088975303107,0.426939816341323,-0.355930470611211,-0.5273698063571584,-0.25194944919210277,0.28415300546448086,2024-03-15,2025-08-29,101,0.4059405940594059,-0.0458891795788863,1.0,3.3114754098360657,69.54098360655738
har_rv_iv,both,366,-0.24190001172646894,0.4695923411500173,-0.515127676771864,-0.5197309310274056,-0.3052821677981737,0.3469945355191257,2024-03-15,2025-08-29,122,0.4672131147540984,-0.0604750029316176,0.7622950819672131,4.0,84.0
har_rv_iv,long_only,366,-0.08025647304904009,0.44576868686182247,-0.18004062513686084,-0.5197309310274056,-0.25194944919210277,0.2786885245901639,2024-03-15,2025-08-29,93,0.4408602150537634,-0.026320671268772,1.0,3.0491803278688523,64.0327868852459
har_x_lasso,both,366,-0.3896597743508001,0.6589445841892485,-0.5913392168329743,-0.8367763900701973,-0.48753217475021693,0.36885245901639346,2024-03-15,2025-08-29,173,0.4161849710982659,-0.0686972434549103,0.7861271676300579,5.672131147540984,119.11475409836066
har_x_lasso,long_only,366,-0.11036826262614018,0.6064128106084762,-0.1820018652234546,-0.40450060421059564,-0.232126367310124,0.29508196721311475,2024-03-15,2025-08-29,136,0.3897058823529412,-0.0247517059565982,1.0,4.459016393442623,93.63934426229508
hgb,both,366,-0.2601290857414172,0.637674663509098,-0.40793385816826616,-0.583240037532734,-0.258186060751353,0.34972677595628415,2024-03-15,2025-08-29,200,0.435,-0.0396696855755666,0.855,6.557377049180327,137.70491803278688
hgb,long_only,366,-0.17897149421258615,0.6382116877338819,-0.28042653817272734,-0.5935066721629656,-0.258186060751353,0.33060109289617484,2024-03-15,2025-08-29,171,0.4210526315789473,-0.0319218162192046,1.0,5.606557377049181,117.7377049180328
lstm,both,366,-0.6109523906106166,0.5335121165955132,-1.1451518561738971,-0.9108828722225681,-0.5639298296199449,0.37158469945355194,2024-03-15,2025-08-29,169,0.408284023668639,-0.1102606385421532,0.7337278106508875,5.540983606557377,116.36065573770492
lstm,long_only,366,-0.30457774064179255,0.45480100931904577,-0.669694513426485,-0.5200095264838157,-0.2359526795797332,0.30327868852459017,2024-03-15,2025-08-29,124,0.3548387096774194,-0.074916299109474,1.0,4.065573770491803,85.37704918032787
lstm_x,both,366,-0.7813861846272658,0.7319350676557302,-1.067562163854124,-1.2996486308854134,-0.5474341183391631,0.37158469945355194,2024-03-15,2025-08-29,230,0.3695652173913043,-0.1036186027440508,0.7869565217391304,7.540983606557377,158.36065573770492
lstm_x,long_only,366,-0.4583022242513891,0.671738854266287,-0.6822624913545816,-0.7971204141435498,-0.2621279492253236,0.3114754098360656,2024-03-15,2025-08-29,181,0.3370165745856354,-0.0772277228710909,1.0,5.9344262295081975,124.62295081967214
combination,both,366,-0.30638648209723945,0.62204713672738,-0.4925454423102943,-0.6738453792950948,-0.3911222948096257,0.3524590163934426,2024-03-15,2025-08-29,167,0.4311377245508982,-0.0559568125985981,0.8143712574850299,5.475409836065574,114.98360655737706
combination,long_only,366,-0.08250067306125222,0.5897837668067506,-0.13988291591668123,-0.4600332362814608,-0.2445127898988815,0.2923497267759563,2024-03-15,2025-08-29,136,0.4117647058823529,-0.0185019891791785,1.0,4.459016393442623,93.63934426229508
always_short,both,366,-1.3055959181805628,1.0824778055759543,-1.2061179559112476,-2.7940235534305087,-1.2436365844882864,0.6092896174863388,2024-03-15,2025-08-29,359,0.5654596100278552,-0.1109211016838637,0.0,11.770491803278688,247.1803278688525
always_long,both,366,-0.31598954531484946,1.0546260414362254,-0.29962236176581064,-1.229987632756564,-0.3153015122172059,0.33879781420765026,2024-03-15,2025-08-29,359,0.3231197771587744,-0.0268459084459694,1.0,11.770491803278688,247.1803278688525
always_long,long_only,366,-0.31598954531484946,1.0546260414362254,-0.29962236176581064,-1.229987632756564,-0.3153015122172059,0.33879781420765026,2024-03-15,2025-08-29,359,0.3231197771587744,-0.0268459084459694,1.0,11.770491803278688,247.1803278688525
