estimator,model,qlike_mean,qlike_median,mse,collapsed,n_obs,dm_vs_har,p_vs_har,mcs_pvalue,in_mcs
intraday 5-min RV,persistence,0.6422347776421988,0.1437616985401977,0.003726004284118309,0,821,4.738157589141914,2.156700700028935e-06,0.0005,False
intraday 5-min RV,har_rv,0.2307098601290828,0.10635215281566768,0.0021929443421703078,0,821,,,0.1905,True
intraday 5-min RV,harq,0.23146274231670988,0.10001960137032784,0.002165453430240861,0,821,0.6124957672710943,0.5402097976085884,0.1905,True
intraday 5-min RV,pdv,0.3387700511530959,0.23025207619518384,0.003047147055951848,0,821,3.8638425434671566,0.00011161718525665165,0.001,False
intraday 5-min RV,har_pdv,0.2377583792585185,0.13000414957895945,0.0023302541200421064,0,821,0.7005491187741265,0.4835844413687802,0.014,False
intraday 5-min RV,log_har,0.21560472672777506,0.09455377558126088,0.0019281286630424804,0,821,-0.9126870136729461,0.3614071758187203,0.696,True
intraday 5-min RV,wls_har_rv,0.21658669782561507,0.09599866765101606,0.0020694807965235054,0,821,-1.634290603254702,0.10219784581952451,0.696,True
intraday 5-min RV,wls_har_rq,0.21315089942414045,0.09930215092782246,0.0020301833742625702,0,821,-1.3413378525009487,0.17981078532298866,1.0,True
intraday 5-min RV,combination,0.22219237994821645,0.09938686997793877,0.0020644101702140187,0,821,-1.2459071013192673,0.21279850270601042,0.0885,False
daily-return proxy,persistence,0.3231815476458823,0.1924727235202668,0.006109446512423638,0,821,-1.025550851274963,0.3051033443932185,0.387,True
daily-return proxy,har_rv,2300.2850616414325,0.13778869547798678,0.0024460405118543927,2,821,,,0.656,True
daily-return proxy,harq,35.5671510389593,0.12510812764393942,0.002384522999309712,0,821,-1.0255755317230324,0.30509170575933453,0.682,True
daily-return proxy,pdv,0.3387700511530959,0.23025207619518384,0.003047147055951848,0,821,-1.0255300552698958,0.3051131514572045,0.0085,False
daily-return proxy,har_pdv,23000658.058750045,0.1619764399549528,0.0026101368410243004,2,821,1.025572585532165,0.3050930950880293,0.656,True
daily-return proxy,log_har,0.24801105369803864,0.12242736525767284,0.002267756960719745,0,821,-1.0255747736623149,0.30509206323594507,0.7795,True
daily-return proxy,wls_har_rv,0.27594637508109565,0.11813561184176224,0.002424979360212829,0,821,-1.0255774834021045,0.3050907854126734,0.731,True
daily-return proxy,wls_har_rq,0.24520774110390378,0.12049973692226734,0.0023606377853866082,0,821,-1.0255766854308126,0.30509116170905837,1.0,True
daily-return proxy,combination,0.2537035002086902,0.12346827470076138,0.0023454817946160765,0,821,-1.0255767573540346,0.3050911277924766,0.7795,True
