horizon,model,n,historical_qlike,corrected_qlike
1,persistence,720,0.2782762248012071,0.278276224801207
1,har,720,0.2094735510394348,0.20947355103943507
1,shar,720,0.2102059503128326,0.2102059503128328
1,har_rv_iv,720,0.1953004919590301,0.19530049195903038
1,har_x_lasso,720,0.1841110779677014,0.1841110779677016
1,hgb,720,0.1945113889077522,0.1935404822529793
1,lstm,720,0.228605981879561,0.22960119022613917
1,lstm_x,720,0.1872697496835108,0.18280141240658243
1,combination,720,0.1870860457980388,0.18665160059968885
5,persistence,720,0.3529508855481568,0.35295088554815657
5,har,720,0.2090336110339613,0.20903361103396145
5,shar,720,0.209919546810965,0.20991954681096528
5,har_rv_iv,720,0.2032909644418335,0.20329096444183367
5,har_x_lasso,720,0.1865917276583049,0.186591727658305
5,hgb,720,0.1846727256852195,0.1851218170308022
5,lstm,720,0.2429637060129572,0.2378408090509458
5,lstm_x,720,0.2493871533911631,0.23557117238120254
5,combination,720,0.1947572383753041,0.19255357315671898
21,persistence,720,0.5810529556236754,0.581052955623675
21,har,720,0.2451792702562146,0.24517927025621475
21,shar,720,0.2453065213924637,0.24530652139246392
21,har_rv_iv,720,0.2484881521090592,0.24848815210905945
21,har_x_lasso,720,0.2529634616919686,0.25460466313331465
21,hgb,720,0.2277800399986543,0.22746405529337238
21,lstm,720,0.264082102564273,0.2542738567010625
21,lstm_x,720,0.314157053008221,0.3131724993715915
21,combination,720,0.233186563426767,0.23141953358609005
