model,variant,sharpe,mean_ann,vol_ann,max_drawdown,worst_month,hit_rate,trade_hit_rate,mean_trade_return,turnover_ann,n_trades,trades_per_year,long_share,n_days,evaluation_start,evaluation_end,option_mid_total,hedge_price_total,option_spread_total,hedge_cost_total,attempted_signals,missing_entry,rejected_path,evaluation_status,qlike_mean,historical_sharpe
har,both,0.0413110998379697,0.0099193360215266,0.2401130945540602,-0.2171731490217521,-0.0982605556208117,0.3342465753424657,0.5846153846153846,0.0046417405741758,2.136986301369863,65,44.87671232876713,0.7076923076923077,365,2024-03-18,2025-08-29,-0.0921908464770759,0.3140484093570215,-0.0489114226464248,-0.1585788479801192,128,0,63,retrospective_complete_quote_paths_premium_budget,0.2451792702562147,-0.6720474423743361
har_rv_iv,both,0.0249729689032126,0.0057351154261868,0.2296529278683029,-0.2102875461091761,-0.1209760852401304,0.3424657534246575,0.5932203389830508,0.0029566626137827,1.9397260273972603,59,40.73424657534247,0.6779661016949152,365,2024-03-18,2025-08-29,-0.1595421661781367,0.3574293364504896,-0.0443520817337717,-0.1452282745284295,122,0,63,retrospective_complete_quote_paths_premium_budget,0.2484881521090594,-0.6359151047057696
shar,both,0.0114264763704663,0.0026688463809537,0.2335668752487734,-0.2202965810464406,-0.0982605556208117,0.3342465753424657,0.5692307692307692,0.0012488832423693,2.136986301369863,65,44.87671232876713,0.7076923076923077,365,2024-03-18,2025-08-29,-0.1155805547174931,0.3259854231423462,-0.0487740312079804,-0.1577652462285865,130,0,65,retrospective_complete_quote_paths_premium_budget,0.2453065213924639,-0.7434533611244172
persistence,both,-0.0285107068005286,-0.006287475839003,0.2205303391105854,-0.2109888501248379,-0.0694448785161465,0.3616438356164383,0.5952380952380952,-0.0022767149615437,2.7616438356164386,84,57.99452054794521,0.6309523809523809,365,2024-03-18,2025-08-29,-0.1910417637840463,0.4400593165214274,-0.0689842878739332,-0.1891401247096228,148,0,64,retrospective_complete_quote_paths_premium_budget,0.581052955623675,-0.6310586333530683
hgb,both,-0.1054850648199299,-0.0326464448011143,0.3094887874112224,-0.2675478102509021,-0.1126665351509539,0.3643835616438356,0.490566037735849,-0.0093678870695021,3.484931506849315,106,73.18356164383562,0.8018867924528302,365,2024-03-18,2025-08-29,-0.2341355064359345,0.5423862143510734,-0.0848586533294015,-0.2706775797937004,195,0,89,retrospective_complete_quote_paths_premium_budget,0.2274640552933723,-0.4820124750937558
combination,both,-0.2110864611475055,-0.0638958445802505,0.3026998710997417,-0.3616087840689536,-0.2510163768932804,0.3616438356164383,0.5316455696202531,-0.0246012481769952,2.5972602739726027,79,54.54246575342466,0.7215189873417721,365,2024-03-18,2025-08-29,-0.1168069967516791,0.2825127496815283,-0.0590242696703319,-0.1992290359253563,167,0,88,retrospective_complete_quote_paths_premium_budget,0.23141953358609,-0.5621037681483311
always_long,both,-0.2240312081392767,-0.1399994394925259,0.6249104339315551,-0.8020491950996959,-0.2755678039111666,0.347945205479452,0.3333333333333333,-0.0199920952326963,7.002739726027398,213,147.05753424657536,1.0,365,2024-03-18,2025-08-29,0.1205350416643908,0.3561453362822624,-0.1665430667345278,-0.5129142771437604,365,0,152,retrospective_complete_quote_paths_premium_budget,,-1.1742122051521915
har_x_lasso,both,-0.5221170453951238,-0.1820333952436889,0.348644804549392,-0.4748693542055974,-0.3629891023467375,0.336986301369863,0.4883720930232558,-0.0643819663410334,2.8273972602739725,86,59.37534246575343,0.7093023255813954,365,2024-03-18,2025-08-29,-0.3795715539022576,0.3965306936967123,-0.0637949154459168,-0.2168237055546746,176,0,90,retrospective_complete_quote_paths_premium_budget,0.2546046631333146,-0.6190391317357624
lstm,both,-0.88568616127292,-0.3112440834140234,0.3514157689521752,-0.6257180739363851,-0.4503377827706752,0.3616438356164383,0.4545454545454545,-0.095626338759359,3.254794520547945,99,68.35068493150685,0.6868686868686869,365,2024-03-18,2025-08-29,-0.3278382312993416,0.1967249562808299,-0.0799578249885561,-0.2397387827156249,180,0,81,retrospective_complete_quote_paths_premium_budget,0.2542738567010625,-0.9566154156113978
lstm_x,both,-0.9908912405382424,-0.3954818010307443,0.3991172641872609,-0.7649407455793374,-0.4171427300936503,0.3342465753424657,0.4117647058823529,-0.101086034577186,3.912328767123288,119,82.15890410958905,0.7394957983193278,365,2024-03-18,2025-08-29,-0.435242132082223,0.2388276921144307,-0.0861207435650865,-0.2902856790711756,228,0,109,retrospective_complete_quote_paths_premium_budget,0.3131724993715915,-0.969359783050505
always_short,both,-1.2390367114938403,-0.7982101531503706,0.6442183235943117,-1.6574569305763371,-0.7889282307959906,0.6,0.5774647887323944,-0.1139854091940083,7.002739726027398,213,147.05753424657536,0.0,365,2024-03-18,2025-08-29,-0.1205350416643908,-0.3561453362822624,-0.1665430667345278,-0.5129142771437604,365,0,152,retrospective_complete_quote_paths_premium_budget,,-0.720172781391781
har_rv_iv,long_only,0.4133967568279418,0.0889825765581446,0.215247398748171,-0.2102875461091761,-0.0982605556208117,0.2657534246575342,0.55,0.0676638342577558,1.3150684931506849,40,27.616438356164384,1.0,365,2024-03-18,2025-08-29,0.0175968407849135,0.2599358870409134,-0.032190868196143,-0.116458365805387,93,0,53,retrospective_complete_quote_paths_premium_budget,0.2484881521090594,-0.6314817479545524
har,long_only,0.3983751401055905,0.0931667971534844,0.2338669956383079,-0.2102875461091761,-0.0982605556208117,0.2684931506849315,0.5434782608695652,0.0616048568134452,1.5123287671232877,46,31.758904109589043,1.0,365,2024-03-18,2025-08-29,0.0849481604859744,0.2165549599474453,-0.0367502091087961,-0.1298089392570767,99,0,53,retrospective_complete_quote_paths_premium_budget,0.2451792702562147,-0.6689491888827692
shar,long_only,0.3784111553100855,0.0859163075129116,0.2270448592946693,-0.2202965810464406,-0.0982605556208117,0.2657534246575342,0.5217391304347826,0.0568106018880664,1.5123287671232877,46,31.758904109589043,1.0,365,2024-03-18,2025-08-29,0.0615584522455572,0.22849197373277,-0.0366128176703517,-0.1289953375055441,101,0,55,retrospective_complete_quote_paths_premium_budget,0.2453065213924639,-0.7521194348800232
