,premium,margin,calibration_end,n_calibration
persistence,0.013145167486657823,0.005999976154219764,2024-03-14,360
har,0.010557725200042476,0.0074626318091635235,2024-03-14,360
shar,0.010577635303795461,0.007447733783803486,2024-03-14,360
har_rv_iv,0.010598466845026947,0.007546131392599878,2024-03-14,360
har_x_lasso,0.012324056178396712,0.006175711461679187,2024-03-14,360
hgb,0.012421212702111262,0.005430083591250296,2024-03-14,360
lstm,0.0104307447769189,0.0058809571467953875,2024-03-14,360
lstm_x,0.011731989708031212,0.004978523737510533,2024-03-14,360
combination,0.01139285119805379,0.006492492268739925,2024-03-14,360
always_short,,0.0,none,0
always_long,,0.0,none,0
