,premium,margin,calibration_end,n_calibration
persistence,0.012766604101564008,0.005645311340013708,2024-03-20,361
har,0.010077471900188725,0.007228874196711577,2024-03-20,361
shar,0.010095667260594979,0.007307868305769946,2024-03-20,361
har_rv_iv,0.01011885502394069,0.007334698472108318,2024-03-20,361
har_x_lasso,0.010203015457628448,0.005593400830197961,2024-03-20,361
hgb,0.011706504905997887,0.005735489216043551,2024-03-20,361
lstm,0.009830034556387025,0.005277792924118521,2024-03-20,361
lstm_x,0.010544324088951193,0.004823345158026352,2024-03-20,361
combination,0.010487243770920852,0.006228675585055417,2024-03-20,361
always_short,,0.0,none,0
always_long,,0.0,none,0
