,premium,margin,calibration_end,n_calibration,evaluation_start,signal_lag_sessions
persistence,0.013145167486657823,0.005999976154219764,2024-03-14,360,2024-03-15,1
har,0.010557725200042476,0.0074626318091635235,2024-03-14,360,2024-03-15,1
shar,0.010577635303795461,0.007447733783803486,2024-03-14,360,2024-03-15,1
har_rv_iv,0.010598466845026947,0.007546131392599878,2024-03-14,360,2024-03-15,1
har_x_lasso,0.012522092928798939,0.006293302613553256,2024-03-14,360,2024-03-15,1
hgb,0.012333440041678965,0.005402310430121651,2024-03-14,360,2024-03-15,1
lstm,0.010815880571168621,0.006171460064853373,2024-03-14,360,2024-03-15,1
lstm_x,0.011881898728620322,0.005254247296046228,2024-03-14,360,2024-03-15,1
combination,0.01147893831838118,0.006635442676377992,2024-03-14,360,2024-03-15,1
always_short,,0.0,none,0,2024-03-18,
always_long,,0.0,none,0,2024-03-18,
