model,variant,sharpe,mean_ann,vol_ann,max_drawdown,worst_month,hit_rate,trade_hit_rate,mean_trade_return,turnover_ann,n_trades,trades_per_year,long_share,n_days,qlike_mean
hgb,both,-0.4820124750937558,-0.26749980301527443,0.5549644808741586,-1.0346362949235535,-0.2581860607513534,0.40771349862258954,0.4052631578947368,-0.04258878442743186,6.2809917355371905,380,131.900826446281,0.7552631578947369,726,0.22778003999865457
combination,both,-0.5621037681483311,-0.3079690106273415,0.5478864011921601,-0.993430194729785,-0.39112229480962585,0.3884297520661157,0.39481268011527376,-0.05369488513819643,5.735537190082645,347,120.44628099173553,0.7175792507204611,726,0.23318656342676713
har_x_lasso,both,-0.6190391317357624,-0.34824257465851255,0.5625534102861212,-1.1253725110006483,-0.4875321747502171,0.4214876033057851,0.37960339943342775,-0.05968463390039663,5.8347107438016526,353,122.52892561983471,0.6883852691218131,726,0.25296346169196876
persistence,both,-0.6310586333530683,-0.22058975333125833,0.3495550835889468,-0.8022022287030763,-0.15148574110647522,0.4366391184573003,0.4481707317073171,-0.0406880490138449,5.421487603305785,328,113.85123966942149,0.6036585365853658,726,0.581052955623675
har_rv_iv,both,-0.6359151047057696,-0.29084311531184515,0.45736154584095756,-1.057036618861385,-0.30528216779817374,0.3958333333333333,0.40397350993377484,-0.057783400393081816,5.033333333333333,302,105.7,0.6754966887417219,720,0.24848815210905945
har,both,-0.6720474423743361,-0.303601779633653,0.4517564690984185,-1.0407378884288645,-0.3049407849382771,0.3972222222222222,0.39935064935064934,-0.05914320382473758,5.133333333333333,308,107.8,0.6818181818181818,720,0.24517927025621475
always_short,both,-0.720172781391781,-0.6625642195939718,0.9200073047936124,-3.3234223872199213,-1.2436365844882866,0.5909090909090909,0.5285118219749653,-0.05575123127320626,11.884297520661157,719,249.5702479338843,0.0,726,
shar,both,-0.7434533611244172,-0.3336795128796018,0.44882373303812456,-1.0903793848423393,-0.30494078493827714,0.3958333333333333,0.3870967741935484,-0.0645831315250842,5.166666666666667,310,108.5,0.6838709677419355,720,0.24530652139246392
lstm,both,-0.9566154156113978,-0.47107361250610696,0.49243782278485615,-1.4652369787520343,-0.5639298296199449,0.4228650137741047,0.39255014326647564,-0.08166175804188959,5.768595041322314,349,121.14049586776859,0.667621776504298,726,0.2640821025642732
lstm_x,both,-0.969359783050505,-0.5709349113199426,0.5889814301179814,-1.7522949215069497,-0.5474341183391634,0.40633608815426997,0.36341463414634145,-0.08424771252404029,6.776859504132231,410,142.31404958677686,0.7048780487804878,726,0.31415705300822133
always_long,both,-1.1742122051521915,-1.0432950411708677,0.8885063846152448,-3.7603597937562037,-0.3153015122172065,0.34573002754820936,0.23783031988873435,-0.08778769122508694,11.884297520661157,719,249.5702479338843,1.0,726,
combination,long_only,-0.49258402119950756,-0.23734102090832354,0.4818285017251811,-0.9906850377982642,-0.24451278989888203,0.2768595041322314,0.3172690763052209,-0.05766719584318704,4.115702479338843,249,86.4297520661157,1.0,726,0.23318656342676713
har_x_lasso,long_only,-0.5071944619960781,-0.2441353505917751,0.48134466932263725,-0.9318350620532497,-0.23212636731012443,0.25895316804407714,0.3004115226337449,-0.0607826695917794,4.016528925619835,243,84.34710743801654,1.0,726,0.25296346169196876
hgb,long_only,-0.5407088045188861,-0.27691767976894893,0.5121382848857913,-1.0550000827026027,-0.2581860607513534,0.30165289256198347,0.34494773519163763,-0.05837463284328018,4.743801652892562,287,99.6198347107438,1.0,726,0.22778003999865457
har_rv_iv,long_only,-0.6314817479545524,-0.24533255621549074,0.38850300425966916,-1.061458344489967,-0.2519494491921034,0.2763888888888889,0.3137254901960784,-0.07215663418102672,3.3999999999999995,204,71.39999999999999,1.0,720,0.24848815210905945
har,long_only,-0.6689491888827692,-0.2559805124106467,0.382660621561059,-1.0391290194098695,-0.24319329047079996,0.2777777777777778,0.3142857142857143,-0.07313728926018477,3.5,210,73.5,1.0,720,0.24517927025621475
shar,long_only,-0.7521194348800232,-0.28534656866087443,0.37938996843818096,-1.0773961203910116,-0.2519494491921034,0.2791666666666667,0.3018867924528302,-0.08075846282854937,3.5333333333333337,212,74.2,1.0,720,0.24530652139246392
persistence,long_only,-0.7888387755716464,-0.24164154945542202,0.30632564845752175,-0.9131412980933176,-0.15148574110647522,0.34710743801652894,0.30303030303030304,-0.07383491788915673,3.272727272727273,198,68.72727272727273,1.0,726,0.581052955623675
lstm_x,long_only,-0.8833360268648024,-0.45357067818030256,0.5134746737208797,-1.3388371671411177,-0.26212794922532434,0.30165289256198347,0.2698961937716263,-0.09495164716231246,4.776859504132231,289,100.31404958677686,1.0,726,0.31415705300822133
lstm,long_only,-0.9292085146170775,-0.36200721404070385,0.3895866302838231,-1.1061738252630742,-0.25833117146806156,0.2741046831955923,0.2875536480686695,-0.09399758132816559,3.8512396694214877,233,80.87603305785125,1.0,726,0.2640821025642732
always_long,long_only,-1.1742122051521915,-1.0432950411708677,0.8885063846152448,-3.7603597937562037,-0.3153015122172065,0.34573002754820936,0.23783031988873435,-0.08778769122508694,11.884297520661157,719,249.5702479338843,1.0,726,
