model,variant,sharpe,mean_ann,vol_ann,max_drawdown,worst_month,hit_rate,trade_hit_rate,mean_trade_return,turnover_ann,n_trades,trades_per_year,long_share,n_days,qlike_mean
hgb,both,-0.2007027026118767,-0.10482393533152835,0.5222846228146673,-0.9578052437015191,-0.2584205105309027,0.40581717451523547,0.44242424242424244,-0.01911183871448574,5.484764542936288,330,115.18005540166205,0.7242424242424242,722,0.2252166933986059
har_rv_iv,both,-0.5522526305404645,-0.239603737786848,0.4338661774274552,-0.9987152578774052,-0.30654828891409897,0.40166204986149584,0.4197952218430034,-0.049201905199688346,4.869806094182826,293,102.26592797783934,0.621160409556314,722,0.24928351874043314
combination,both,-0.5540344600522312,-0.28678672484833556,0.5176333703526294,-1.0373865062803496,-0.4033619528128758,0.4002770083102493,0.4169381107491857,-0.056205215890471845,5.1024930747922435,307,107.15235457063712,0.6742671009771987,722,0.2327218255842042
shar,both,-0.5897527840416594,-0.2526392132914512,0.42838155262291244,-0.9801343940596441,-0.30203643625883686,0.39196675900277006,0.4208754208754209,-0.05117999775432878,4.93628808864266,297,103.66204986149584,0.6262626262626263,722,0.24570739926686536
har,both,-0.598243848573584,-0.2557160138723052,0.4274444517599618,-0.976470625984903,-0.30494080392570305,0.40304709141274236,0.41414141414141414,-0.05180330022890133,4.93628808864266,297,103.66204986149584,0.6262626262626263,722,0.2455700971038842
persistence,both,-0.6820000669988988,-0.24167235074376475,0.3543582507362935,-0.7927517046159244,-0.15148586006350262,0.44321329639889195,0.44545454545454544,-0.04406248415075711,5.484764542936288,330,115.18005540166205,0.593939393939394,722,0.5782343959504849
lstm,both,-0.6932821770675826,-0.33610859569731244,0.4848077836343223,-1.1611411111241619,-0.5777154254609507,0.43213296398891965,0.4416403785488959,-0.06379348214864868,5.268698060941828,317,110.64265927977839,0.5930599369085173,722,0.24672615586645844
har_x_lasso,both,-0.7893487196540108,-0.43667509847742186,0.5532093580500471,-1.397870648775318,-0.4875320882496237,0.4113573407202216,0.3841642228739003,-0.07704775686722837,5.667590027700831,341,119.01939058171745,0.6891495601173021,722,0.24681114396275913
lstm_x,both,-1.1794934325088047,-0.6753395680690641,0.5725674679108677,-2.022060151164815,-0.603129593148345,0.4224376731301939,0.35784313725490197,-0.09959051636966183,6.781163434903047,408,142.404432132964,0.6936274509803921,722,0.29245290828892256
hgb,long_only,-0.30372159677038973,-0.14357752712395183,0.47272742093640086,-0.9679024501157435,-0.2584205105309027,0.2756232686980609,0.37656903765690375,-0.03614469127736863,3.972299168975069,239,83.41828254847645,1.0,722,0.2252166933986059
combination,long_only,-0.46313471721772614,-0.20266431706856683,0.43759258275015367,-1.0382127922069084,-0.2441230889058669,0.2451523545706371,0.34299516908212563,-0.05890645608836765,3.4404432132963985,207,72.24930747922437,1.0,722,0.2327218255842042
har_rv_iv,long_only,-0.5904639166307311,-0.20546489913544133,0.34797198160363896,-0.9383566042372902,-0.2353670718135961,0.27285318559556787,0.31868131868131866,-0.06792383570319993,3.0249307479224377,182,63.52354570637119,1.0,722,0.24928351874043314
lstm,long_only,-0.6283380516606715,-0.22368909332690193,0.3560011887481602,-0.872810264308606,-0.2555681593369182,0.2673130193905817,0.32978723404255317,-0.07158844210196065,3.1246537396121887,188,65.61772853185596,1.0,722,0.24672615586645844
shar,long_only,-0.6453319330499896,-0.22074892691864154,0.3420703604040335,-0.9371759329297618,-0.2353670718135961,0.27285318559556787,0.3225806451612903,-0.07140713496203367,3.0914127423822713,186,64.9196675900277,1.0,722,0.24570739926686536
har,long_only,-0.6559733139602423,-0.22382572749949547,0.3412116358030096,-0.9335121648550209,-0.22685831118507724,0.26869806094182824,0.3118279569892473,-0.07240240826820597,3.0914127423822713,186,64.9196675900277,1.0,722,0.2455700971038842
har_x_lasso,long_only,-0.6794783981265784,-0.31443768853575765,0.4627633334668306,-1.2517925124631715,-0.2802660974134841,0.25069252077562326,0.3148936170212766,-0.08050496848326844,3.905817174515236,235,82.02216066481995,1.0,722,0.24681114396275913
persistence,long_only,-0.7735933273930559,-0.23695607599151858,0.30630573920543047,-0.8958811488083418,-0.15148586006350262,0.3490304709141274,0.30612244897959184,-0.07273906754501548,3.257617728531856,196,68.40997229916897,1.0,722,0.5782343959504849
lstm_x,long_only,-1.1002605112672625,-0.5279501747987976,0.4798410643591244,-1.549336930747443,-0.41286247162920403,0.2756232686980609,0.24734982332155478,-0.1122438239707691,4.703601108033241,283,98.77562326869806,1.0,722,0.29245290828892256
