model,variant,sharpe,mean_ann,vol_ann,max_drawdown,worst_month,hit_rate,trade_hit_rate,mean_trade_return,turnover_ann,n_trades,trades_per_year,long_share,n_days,evaluation_start,evaluation_end,option_mid_total,hedge_price_total,option_spread_total,hedge_cost_total,attempted_signals,missing_entry,rejected_path,evaluation_status,qlike_mean
har,both,0.04131109983796978,0.009919336021526658,0.2401130945540602,-0.2171731490217521,-0.09826055562081179,0.33424657534246577,0.5846153846153846,0.004641740574175896,2.136986301369863,65,44.87671232876713,0.7076923076923077,365,2024-03-18,2025-08-29,-0.09219084647707591,0.31404840935702155,-0.04891142264642482,-0.1585788479801192,128,0,63,retrospective_complete_quote_paths_premium_budget,0.24517927025621475
har_rv_iv,both,0.024972968903212628,0.005735115426186862,0.22965292786830294,-0.21028754610917613,-0.12097608524013045,0.3424657534246575,0.5932203389830508,0.0029566626137827743,1.9397260273972603,59,40.73424657534247,0.6779661016949152,365,2024-03-18,2025-08-29,-0.15954216617813677,0.35742933645048963,-0.04435208173377171,-0.14522827452842954,122,0,63,retrospective_complete_quote_paths_premium_budget,0.24848815210905945
shar,both,0.01142647637046636,0.002668846380953773,0.2335668752487734,-0.22029658104644062,-0.09826055562081178,0.33424657534246577,0.5692307692307692,0.001248883242369347,2.136986301369863,65,44.87671232876713,0.7076923076923077,365,2024-03-18,2025-08-29,-0.11558055471749318,0.32598542314234624,-0.048774031207980434,-0.15776524622858654,130,0,65,retrospective_complete_quote_paths_premium_budget,0.24530652139246392
persistence,both,-0.028510706800528602,-0.006287475839003047,0.22053033911058548,-0.21098885012483792,-0.06944487851614656,0.36164383561643837,0.5952380952380952,-0.002276714961543776,2.7616438356164386,84,57.99452054794521,0.6309523809523809,365,2024-03-18,2025-08-29,-0.19104176378404633,0.4400593165214274,-0.06898428787393326,-0.18914012470962285,148,0,64,retrospective_complete_quote_paths_premium_budget,0.581052955623675
hgb,both,-0.1054850648199299,-0.032646444801114304,0.3094887874112224,-0.26754781025090213,-0.11266653515095391,0.3643835616438356,0.49056603773584906,-0.009367887069502135,3.484931506849315,106,73.18356164383562,0.8018867924528302,365,2024-03-18,2025-08-29,-0.23413550643593453,0.5423862143510734,-0.08485865332940153,-0.27067757979370044,195,0,89,retrospective_complete_quote_paths_premium_budget,0.22746405529337238
combination,both,-0.21108646114750557,-0.06389584458025056,0.3026998710997417,-0.3616087840689536,-0.25101637689328044,0.36164383561643837,0.5316455696202531,-0.024601248176995206,2.5972602739726027,79,54.54246575342466,0.7215189873417721,365,2024-03-18,2025-08-29,-0.1168069967516791,0.28251274968152834,-0.05902426967033191,-0.19922903592535637,167,0,88,retrospective_complete_quote_paths_premium_budget,0.23141953358609005
always_long,both,-0.2240312081392767,-0.13999943949252594,0.6249104339315551,-0.8020491950996959,-0.27556780391116664,0.34794520547945207,0.3333333333333333,-0.019992095232696388,7.002739726027398,213,147.05753424657536,1.0,365,2024-03-18,2025-08-29,0.12053504166439086,0.35614533628226247,-0.16654306673452787,-0.5129142771437604,365,0,152,retrospective_complete_quote_paths_premium_budget,
har_x_lasso,both,-0.5221170453951238,-0.18203339524368897,0.34864480454939206,-0.4748693542055974,-0.36298910234673754,0.336986301369863,0.4883720930232558,-0.06438196634103341,2.8273972602739725,86,59.37534246575343,0.7093023255813954,365,2024-03-18,2025-08-29,-0.3795715539022576,0.3965306936967123,-0.06379491544591681,-0.21682370555467467,176,0,90,retrospective_complete_quote_paths_premium_budget,0.25460466313331465
lstm,both,-0.88568616127292,-0.3112440834140234,0.3514157689521752,-0.6257180739363851,-0.45033778277067527,0.36164383561643837,0.45454545454545453,-0.09562633875935901,3.254794520547945,99,68.35068493150685,0.6868686868686869,365,2024-03-18,2025-08-29,-0.3278382312993416,0.19672495628082998,-0.07995782498855618,-0.23973878271562493,180,0,81,retrospective_complete_quote_paths_premium_budget,0.2542738567010625
lstm_x,both,-0.9908912405382423,-0.3954818010307443,0.39911726418726096,-0.7649407455793374,-0.4171427300936503,0.33424657534246577,0.4117647058823529,-0.10108603457718607,3.912328767123288,119,82.15890410958905,0.7394957983193278,365,2024-03-18,2025-08-29,-0.43524213208222307,0.23882769211443075,-0.08612074356508657,-0.2902856790711756,228,0,109,retrospective_complete_quote_paths_premium_budget,0.3131724993715915
always_short,both,-1.2390367114938403,-0.7982101531503706,0.6442183235943117,-1.6574569305763371,-0.7889282307959906,0.6,0.5774647887323944,-0.11398540919400832,7.002739726027398,213,147.05753424657536,0.0,365,2024-03-18,2025-08-29,-0.12053504166439086,-0.35614533628226247,-0.16654306673452787,-0.5129142771437604,365,0,152,retrospective_complete_quote_paths_premium_budget,
har_rv_iv,long_only,0.41339675682794186,0.08898257655814469,0.21524739874817106,-0.21028754610917613,-0.09826055562081179,0.26575342465753427,0.55,0.06766383425775586,1.3150684931506849,40,27.616438356164384,1.0,365,2024-03-18,2025-08-29,0.017596840784913595,0.2599358870409134,-0.032190868196143065,-0.11645836580538707,93,0,53,retrospective_complete_quote_paths_premium_budget,0.24848815210905945
har,long_only,0.39837514010559055,0.09316679715348444,0.23386699563830793,-0.21028754610917613,-0.09826055562081179,0.2684931506849315,0.5434782608695652,0.06160485681344529,1.5123287671232877,46,31.758904109589043,1.0,365,2024-03-18,2025-08-29,0.08494816048597446,0.2165549599474453,-0.036750209108796165,-0.12980893925707676,99,0,53,retrospective_complete_quote_paths_premium_budget,0.24517927025621475
shar,long_only,0.3784111553100855,0.08591630751291161,0.2270448592946693,-0.22029658104644062,-0.09826055562081178,0.26575342465753427,0.5217391304347826,0.05681060188806647,1.5123287671232877,46,31.758904109589043,1.0,365,2024-03-18,2025-08-29,0.06155845224555721,0.22849197373277003,-0.03661281767035177,-0.1289953375055441,101,0,55,retrospective_complete_quote_paths_premium_budget,0.24530652139246392
persistence,long_only,0.28674222478429495,0.06325090889159582,0.22058456489684083,-0.21098885012483792,-0.06944487851614656,0.27123287671232876,0.49056603773584906,0.03629965683244097,1.7424657534246575,53,36.59178082191781,1.0,365,2024-03-18,2025-08-29,0.022988271848975915,0.2501122624012621,-0.04836433906816443,-0.13312277555734162,109,0,56,retrospective_complete_quote_paths_premium_budget,0.581052955623675
combination,long_only,0.2608869667049023,0.06840674820300703,0.2622083773176148,-0.18251859536126938,-0.10056565237663392,0.29041095890410956,0.49122807017543857,0.03650360101476255,1.873972602739726,57,39.35342465753425,1.0,365,2024-03-18,2025-08-29,0.1312056076177235,0.1798708190521571,-0.04456196310487546,-0.1674332608106497,133,0,76,retrospective_complete_quote_paths_premium_budget,0.23141953358609005
har_x_lasso,long_only,0.05765094495842246,0.016548679461597295,0.28704957869349956,-0.2249163039508386,-0.10962900330418743,0.2328767123287671,0.4262295081967213,0.008251732245195379,2.0054794520547947,61,42.11506849315069,1.0,365,2024-03-18,2025-08-29,-0.12577233741588467,0.3769599919384901,-0.047698170307888234,-0.17952016674057825,139,0,78,retrospective_complete_quote_paths_premium_budget,0.25460466313331465
hgb,long_only,-0.032944695314747294,-0.010068761681602836,0.3056261891454093,-0.26754781025090213,-0.11266653515095391,0.3232876712328767,0.4470588235294118,-0.0036030372684166907,2.7945205479452055,85,58.68493150684932,1.0,365,2024-03-18,2025-08-29,0.04242401698568294,0.2539415378622664,-0.07081493810705718,-0.24013433901781692,165,0,80,retrospective_complete_quote_paths_premium_budget,0.22746405529337238
lstm,long_only,-0.20420842166785733,-0.05356627784453554,0.26231179599272597,-0.21649953796745727,-0.09916590454711449,0.3041095890410959,0.4117647058823529,-0.02396040614369545,2.2356164383561645,68,46.947945205479456,1.0,365,2024-03-18,2025-08-29,0.017186302694477094,0.15288418053372752,-0.05474901537259247,-0.1929075448923403,137,0,69,retrospective_complete_quote_paths_premium_budget,0.2542738567010625
